utt_id,ref,hyp_baseline,conf_baseline,wer_baseline,verdict_baseline,hyp_hyp_mbr,conf_hyp_mbr,wer_hyp_mbr,verdict_hyp_mbr,hyp_hyp_vote_score,conf_hyp_vote_score,wer_hyp_vote_score,verdict_hyp_vote_score,hyp_hyp_vote_conf,conf_hyp_vote_conf,wer_hyp_vote_conf,verdict_hyp_vote_conf
-0dKADuskCI_6__0959cf94_00_000000_000128,then we have the costal cartilages costal always refers to ribs so these are right here,that we have they cause our hormones to go haywire so these are my heroes,0.48984453131755196,68.8,N,that we have they cause our hormones to go haywire so these are right here these,0.529,62.5,P,that we have they cause our hormones to go haywire so these are these are,0.662,68.8,N,that we have they cause our hormones to go haywire so these are here are,0.663,68.8,N
-1A3LaiaazA_12__992cdcbf_00_000000_000282,actually i find all purple crystals to be very useful for the grief release process just because the purple crystals are very high elevation energy,i find all people crystals to be very useful for the grief release process it's because the people crystal has very high individual characters,0.7731060869991779,32.0,P,i find all people crystals to be very useful for the grief release process it's because the people crystal has very high individual characters,0.701,32.0,P,i find all people crystals to be very useful for the grief release process it's because the people crystal has very high individual characters,0.685,32.0,P,i find all people crystals to be very useful for the grief release process it's because the people crystal has very high individual characters,0.689,32.0,P
-29kYQQ3Kos_11__652a02f9_00_000000_000073,that are going to allow you to work with the team in a more,are going to allow you to work with a team and more,0.9123958945274353,28.6,Y,are going to allow you to work with a team and more,0.833,28.6,Y,are going to allow you to work with a team and more,0.659,28.6,Y,are going to allow you to work with a team and more,0.666,28.6,P
-3xW7Mihgjk_0__c4fdf51c_00_000000_000093,educational neuroscience if you want to learn more about it one way is,international courts and if you learn more about it in one way,0.7388050599644581,53.8,P,international and if you want to learn more about it in one way,0.655,30.8,P,international and if you learn more about it in one way,0.693,46.2,P,international and if you learn more about it in one way,0.694,46.2,P
-7tusOdq-Aw_9__433c1e07_00_000000_000075,the 25 most important people to the growth of your business,the one that i'm most proud of is this one,0.4338031351566315,90.9,N,the one that i'm most proud of is this one,0.468,90.9,N,the one that i'm most proud of is this one,0.504,90.9,N,the this that me tell proud of is point one,0.505,90.9,N
-BuazAhs7uA_3__a4eb4ae6_00_000000_000101,and then we usually keep an eye on things and observe,that we used to keep it out of sight and out of,0.6530785486102104,90.9,N,that we used to keep it out of sight out of,0.595,90.9,N,that we used to keep it out of sight and out of,0.591,90.9,P,that we used to keep it of sight out of,0.613,90.9,P
-CtCg8jQ2JE_16__18dd4b08_00_000000_000127,you know in the tropics where i live they wear out and they're 600 bucks a fucking piece,you know when the drops are where i live and they wear athleisure they don't remind me of fucking bears,0.6112781301140785,61.1,P,you know when the drops are where i live and they wear athleisure they don't remind me of fucking bees,0.56,61.1,P,you know when the drops are where i live and they wear athleisure they don't remind me of fucking bees,0.641,61.1,P,you know when the drops are where i live and they wear athleisure they don't remind me of fucking bees,0.64,61.1,P
-Hh2nX2Kx-E_12__35945ecb_00_000000_000138,more fabulous queens from around the globe first the lebanese comedian,more fabulous tweets from around the globe first lebanese community,0.8212843015789986,27.3,P,more fabulous tweets from around the globe first lebanese media,0.736,27.3,P,more fabulous tweets from around the globe first lebanese media,0.682,27.3,P,more fabulous tweets from around the globe first lebanese media,0.687,27.3,P
-IB9YU0FmEs_0__8088e32d_00_000000_000090,examples so that you can practice along with me,couples sitting and practicing yoga with me,0.5737596079707146,77.8,P,couples sitting and practicing yoga with me,0.587,77.8,P,couples sitting and practice yoga with me,0.577,66.7,P,couples sitting and practice yoga with me,0.574,66.7,P
-IfFGbQZmVM_0__f5b650af_00_000000_000239,provide the housing so let's imagine the private sector has moved out no private investors and it was up to the government to provide this housing historically they haven't been great at doing that,the housing so it's matching the private sector to move that no profit investors and it was up to the government to provide this housing historically they haven't been great at doing it but even,0.845241094487054,29.4,Y,the housing so it's matching the private sector to move that no profit investors and it was up to the government to provide this housing historically they haven't been great at doing it but even,0.737,29.4,Y,the housing so it's matching the private sector to move that no profit investors and it was up to the government to provide this housing historically they haven't been great at doing it but even,0.698,29.4,Y,the housing so it's matching the private sector to move that no profit investors and it was up to the government to provide this housing historically they haven't been great at doing it but even,0.7,29.4,P
-OZgSDreob0_9__ce9166dc_00_000000_000148,but that smiling is actually a universally correct expression of pleasure,but if you think about it it's actually two different things the,0.4375486249725024,100.0,N,but if you think about it it's actually two different things the,0.484,100.0,N,but if you think about it it's actually two different things the,0.53,100.0,N,if you think about it it's actually two different things the,0.533,100.0,N
-POZpyVCN8k_9__c7b26ea8_00_000000_000085,today i'm talking with admiral mcrae,today i'm talking with animal migratory,0.6629457200566927,33.3,P,today i'm talking with animal migratory,0.64,33.3,P,today i'm talking with animal migratory,0.6,33.3,P,today i'm talking with animal migratory,0.606,33.3,P
-Q5v9TPr-I0_0__389f7bc8_00_000000_000101,always pads were the pads that,always pants were the pants that,0.8366907487312952,33.3,P,always pants were the pants that,0.746,33.3,P,always pants were the pants that,0.631,33.3,P,always pants were the pants that,0.637,33.3,P
