utt_id,display_name,ref,hyp,hyp_tagged,wer_%,wwer_%,nea_recall_%,nea_precision_%,nea_f1_%,missed_entities
-r0CnHLAm2k_0__70eb4d5d_00_000000_000093,-r0CnHLAm2k_0__70eb4d5d,there forever and i want it to be a five star review,forever and i wanted to be around for you,forever:rep and:rep i:rep wanted:ins to:rep be:rep around:ins for:ins you:ins,58.3,68.4,0.0,100.0,0.0,five
0fmc81KXbB0_0__8be49586_00_000000_000099,0fmc81KXbB0_0__8be49586,i don't want to say mistakes but i will say like experiments and,i don't want to seem disrespectful,i:ok don't:ok want:ok to:ok seem:ins disrespectful:ins,69.2,78.9,25.0,33.3,28.6,"experiments, mistakes, say"
0v2N6w4m46s_0__964e9355_00_000000_000359,0v2N6w4m46s_0__964e9355 - Part 1,on today's the doctor is in the topic is hypertension there is no ideal blood pressure reading but there is an accepted range of normal readings and today we're going to see where ours specifically mine falls and whether or not you need to make some life decisions,today as the doctor says the topic is hypertension there is no ideal blood pressure reading but there is an accepted range of normal readings and today we'll see where our specifically mine falls and whether or not you're going to make some life changes,today:rep as:ins the:ok doctor:ok says:ins the:rep topic:rep is:rep hypertension:rep there:rep is:rep no:rep ideal:rep blood:rep pressure:rep reading:rep but:rep there:rep is:rep an:rep accepted:rep range:rep of:rep normal:rep readings:rep and:rep today:rep we'll:ins see:rep where:rep our:ins specifically:rep mine:rep falls:rep and:rep whether:rep or:rep not:rep you're:ins going:rep to:rep make:rep some:rep life:rep changes:ins,22.9,19.5,100.0,100.0,100.0,
0v2N6w4m46s_0__964e9355_01_000299_000395,0v2N6w4m46s_0__964e9355 - Part 2,and whether or not you need to make some lifestyle changes dr axel,and whether or not you're going to make some lifestyle changes not your hair,and:ok whether:ok or:ok not:ok you're:ins going:ins to:ok make:ok some:ok lifestyle:ok changes:ok not:rep your:ins hair:ins,38.5,47.8,0.0,100.0,0.0,"axel, dr"
1wZuiC0RuPM_13__dd2295eb_00_000000_000169,1wZuiC0RuPM_13__dd2295eb,you can just stitch that into place and that way it won't slide out,the tradition is to teach it in the place and that way it won't slide out,the:ins tradition:ins is:ins to:ins teach:ins it:rep in:ins the:ins place:rep and:rep that:rep way:rep it:rep won't:rep slide:rep out:rep,57.1,50.0,60.0,60.0,60.0,"just, stitch"
1whXJLCrTjY_0__668dbcdc_00_000000_000075,1whXJLCrTjY_0__668dbcdc,running a marathon knocked her out,when a marathon not a sprint,when:ins a:ok marathon:ok not:ins a:rep sprint:ins,66.7,66.7,33.3,50.0,40.0,"knocked, running"
2HddWQse8Mw_0__8ecb0409_00_000000_000072,2HddWQse8Mw_0__8ecb0409,james and will talk about street photography and other,some people want to talk about doing it in photography and other,some:ins people:ins want:ins to:ins talk:rep about:rep doing:ins it:ins in:ins photography:rep and:rep other:rep,77.8,50.0,0.0,100.0,0.0,james
2JuBrr6TW8o_14__39750242_00_000000_000112,2JuBrr6TW8o_14__39750242,they have something like this for the viola,some english for you all and,some:ins english:ins for:rep you:ins all:ins and:ins,100.0,90.0,0.0,0.0,0.0,"have, viola"
2S0wKsrQYqI_1__fbb354d6_00_000000_000141,2S0wKsrQYqI_1__fbb354d6,lures all with punch out hooks that go along with it this is no bigger than a credit card guys,is one of the largest oil reservoirs in the world there's no better place to drill a gas,is:rep one:ins of:ins the:ins largest:ins oil:ins reservoirs:ins in:ins the:ins world:ins there's:ins no:rep better:ins place:ins to:ins drill:ins a:ok gas:ins,95.0,155.2,0.0,0.0,0.0,"bigger, card, credit, go, guys, hooks, lures, no, punch"
3PE65tkpaGw_0__dde8ee01_00_000000_000291,3PE65tkpaGw_0__dde8ee01,i bought a custom well not a custom this is off the shelf but it's much more expensive router bit meant to do this exact operation,they're putting on a costume well our costumes of the show but it's much more expansive around being meant to do this exact operation,they're:ins putting:ins on:ins a:rep costume:ins well:rep our:ins costumes:ins of:ins the:rep show:ins but:rep it's:rep much:rep more:rep expansive:ins around:ins being:ins meant:rep to:rep do:rep this:rep exact:rep operation:rep,53.8,55.0,50.0,54.5,52.2,"bit, bought, custom, expensive, router, shelf"
