deck,slide_num,slide_title,hidden,location_in_slide,surrounding_text,number_mention,normalized,suggested_status,audit_category,audit_reason
AFTER_AMOSI_May2026,1,Argos VSP,no,shape[5]/para[0],February 2026,2026,2026,METADATA,METADATA,slide-meta / date / page
AFTER_AMOSI_May2026,1,Argos VSP,no,shape[7]/para[0],1,1,1,UNCLASSIFIED,OUT_OF_AUDIT,not in audit canonical set
AFTER_AMOSI_May2026,1,Argos VSP,no,notes/para[0],"Welcome. This presentation covers 3 months of research and engineering on a visual speech processing system — reading lips from video, no audio. We'll cover what we found, what we built, and where we go next.",3,3,UNCLASSIFIED,OUT_OF_AUDIT,not in audit canonical set
AFTER_AMOSI_May2026,2,What was done? (1/2),no,shape[0]/para[0],What was done? (1/2),1,1,UNCLASSIFIED,OUT_OF_AUDIT,not in audit canonical set
AFTER_AMOSI_May2026,2,What was done? (1/2),no,shape[0]/para[0],What was done? (1/2),2,2,UNCLASSIFIED,OUT_OF_AUDIT,not in audit canonical set
AFTER_AMOSI_May2026,2,What was done? (1/2),no,shape[3]/para[5],• Shipped per-word confidence scoring (Apr 30 2026) and a joint conf+beam-agreement band rule (May 2 2026) that calibrates trust without ground truth,30,30,METADATA,METADATA,slide-meta / date / page
AFTER_AMOSI_May2026,2,What was done? (1/2),no,shape[3]/para[5],• Shipped per-word confidence scoring (Apr 30 2026) and a joint conf+beam-agreement band rule (May 2 2026) that calibrates trust without ground truth,2026,2026,METADATA,METADATA,slide-meta / date / page
AFTER_AMOSI_May2026,2,What was done? (1/2),no,shape[3]/para[5],• Shipped per-word confidence scoring (Apr 30 2026) and a joint conf+beam-agreement band rule (May 2 2026) that calibrates trust without ground truth,2,2,METADATA,METADATA,slide-meta / date / page
AFTER_AMOSI_May2026,2,What was done? (1/2),no,shape[3]/para[5],• Shipped per-word confidence scoring (Apr 30 2026) and a joint conf+beam-agreement band rule (May 2 2026) that calibrates trust without ground truth,2026,2026,METADATA,METADATA,slide-meta / date / page
AFTER_AMOSI_May2026,2,What was done? (1/2),no,shape[5]/para[0],2,2,2,UNCLASSIFIED,OUT_OF_AUDIT,not in audit canonical set
AFTER_AMOSI_May2026,2,What was done? (1/2),no,notes/para[0],"Overview slide 1/2. Four months of work: went from a research paper with no environment to a full pipeline, standalone container with UI, new evaluation metric (IS), per-word confidence + agreement-aware trust bands (May 2 2026), fine-tuning experiments, and Arabic roadmap. See docs/confidence/band_reliability_by_niv.md for the band rule and docs/features/per-word-confidence-user-guide.md for the ",1,1,METADATA,METADATA,slide-meta / date / page
AFTER_AMOSI_May2026,2,What was done? (1/2),no,notes/para[0],"Overview slide 1/2. Four months of work: went from a research paper with no environment to a full pipeline, standalone container with UI, new evaluation metric (IS), per-word confidence + agreement-aware trust bands (May 2 2026), fine-tuning experiments, and Arabic roadmap. See docs/confidence/band_reliability_by_niv.md for the band rule and docs/features/per-word-confidence-user-guide.md for the ",2,2,METADATA,METADATA,slide-meta / date / page
AFTER_AMOSI_May2026,2,What was done? (1/2),no,notes/para[0],"Overview slide 1/2. Four months of work: went from a research paper with no environment to a full pipeline, standalone container with UI, new evaluation metric (IS), per-word confidence + agreement-aware trust bands (May 2 2026), fine-tuning experiments, and Arabic roadmap. See docs/confidence/band_reliability_by_niv.md for the band rule and docs/features/per-word-confidence-user-guide.md for the ",2,2,METADATA,METADATA,slide-meta / date / page
AFTER_AMOSI_May2026,2,What was done? (1/2),no,notes/para[0],"Overview slide 1/2. Four months of work: went from a research paper with no environment to a full pipeline, standalone container with UI, new evaluation metric (IS), per-word confidence + agreement-aware trust bands (May 2 2026), fine-tuning experiments, and Arabic roadmap. See docs/confidence/band_reliability_by_niv.md for the band rule and docs/features/per-word-confidence-user-guide.md for the ",2026,2026,METADATA,METADATA,slide-meta / date / page
AFTER_AMOSI_May2026,3,What was done? (2/2),no,shape[0]/para[0],What was done? (2/2),2,2,UNCLASSIFIED,OUT_OF_AUDIT,not in audit canonical set
AFTER_AMOSI_May2026,3,What was done? (2/2),no,shape[0]/para[0],What was done? (2/2),2,2,UNCLASSIFIED,OUT_OF_AUDIT,not in audit canonical set
AFTER_AMOSI_May2026,3,What was done? (2/2),no,shape[3]/para[0],• Proved the model performs well — about 65% of videos are useful by LLM judge assessment,65%,65%,UNCLASSIFIED,OUT_OF_AUDIT,not in audit canonical set
AFTER_AMOSI_May2026,3,What was done? (2/2),no,shape[3]/para[4],"• Mission 6 shipped (May 1 2026): n-best aggregation across 5 methods (MBR, score-vote, conf-vote, safe, xseg-merge); MBR promoted to production default May 2 2026",6,6,METADATA,METADATA,slide-meta / date / page
AFTER_AMOSI_May2026,3,What was done? (2/2),no,shape[3]/para[4],"• Mission 6 shipped (May 1 2026): n-best aggregation across 5 methods (MBR, score-vote, conf-vote, safe, xseg-merge); MBR promoted to production default May 2 2026",1,1,METADATA,METADATA,slide-meta / date / page
AFTER_AMOSI_May2026,3,What was done? (2/2),no,shape[3]/para[4],"• Mission 6 shipped (May 1 2026): n-best aggregation across 5 methods (MBR, score-vote, conf-vote, safe, xseg-merge); MBR promoted to production default May 2 2026",2026,2026,METADATA,METADATA,slide-meta / date / page
AFTER_AMOSI_May2026,3,What was done? (2/2),no,shape[3]/para[4],"• Mission 6 shipped (May 1 2026): n-best aggregation across 5 methods (MBR, score-vote, conf-vote, safe, xseg-merge); MBR promoted to production default May 2 2026",5,5,METADATA,METADATA,slide-meta / date / page
AFTER_AMOSI_May2026,3,What was done? (2/2),no,shape[3]/para[4],"• Mission 6 shipped (May 1 2026): n-best aggregation across 5 methods (MBR, score-vote, conf-vote, safe, xseg-merge); MBR promoted to production default May 2 2026",2,2,METADATA,METADATA,slide-meta / date / page
AFTER_AMOSI_May2026,3,What was done? (2/2),no,shape[3]/para[4],"• Mission 6 shipped (May 1 2026): n-best aggregation across 5 methods (MBR, score-vote, conf-vote, safe, xseg-merge); MBR promoted to production default May 2 2026",2026,2026,METADATA,METADATA,slide-meta / date / page
AFTER_AMOSI_May2026,3,What was done? (2/2),no,shape[3]/para[5],"• v3 LLM-as-Judge (Opus 4.7, paired): MBR Y+P = 71.1% vs baseline 68.4% (p = 0.00017 paired McNemar)",4.7,4.7,METADATA,OUT_OF_AUDIT,not in audit canonical set
AFTER_AMOSI_May2026,3,What was done? (2/2),no,shape[3]/para[5],"• v3 LLM-as-Judge (Opus 4.7, paired): MBR Y+P = 71.1% vs baseline 68.4% (p = 0.00017 paired McNemar)",71.1%,71.1%,METADATA,OK,matches MBR canonical key=judge_v3_yp_pct_mbr
AFTER_AMOSI_May2026,3,What was done? (2/2),no,shape[3]/para[5],"• v3 LLM-as-Judge (Opus 4.7, paired): MBR Y+P = 71.1% vs baseline 68.4% (p = 0.00017 paired McNemar)",68.4%,68.4%,METADATA,OK_TOP1_AS_BASELINE,explicit baseline marker in surrounding text (judge_v3_yp_pct_baseline)
AFTER_AMOSI_May2026,3,What was done? (2/2),no,shape[3]/para[5],"• v3 LLM-as-Judge (Opus 4.7, paired): MBR Y+P = 71.1% vs baseline 68.4% (p = 0.00017 paired McNemar)",0.00017,0.00017,METADATA,OK,matches MBR canonical key=mcnemar_yp_p_mbr
AFTER_AMOSI_May2026,3,What was done? (2/2),no,shape[3]/para[8],• Full plan to replicate the approach for an Arabic model in 2–3 months,2,2,UNCLASSIFIED,OUT_OF_AUDIT,not in audit canonical set
AFTER_AMOSI_May2026,3,What was done? (2/2),no,shape[3]/para[8],• Full plan to replicate the approach for an Arabic model in 2–3 months,3,3,UNCLASSIFIED,OUT_OF_AUDIT,not in audit canonical set
AFTER_AMOSI_May2026,3,What was done? (2/2),no,shape[5]/para[0],3,3,3,UNCLASSIFIED,OUT_OF_AUDIT,not in audit canonical set
AFTER_AMOSI_May2026,3,What was done? (2/2),no,notes/para[0],"Overview slide 2/2. Key findings: 65% useful output by LLM judge, IS metric validated, MBR n-best aggregation promoted to production default (Y+P 71.1% vs 68.4% baseline, paired p=0.00017), failure analysis complete, reproducible deployment, and clear path forward for model improvement and Arabic adaptation. See docs/beam-search/n_best_implementation.md and docs/evaluation/after_amosi_audit.md (Se",2,2,METADATA,METADATA,slide-meta / date / page
AFTER_AMOSI_May2026,3,What was done? (2/2),no,notes/para[0],"Overview slide 2/2. Key findings: 65% useful output by LLM judge, IS metric validated, MBR n-best aggregation promoted to production default (Y+P 71.1% vs 68.4% baseline, paired p=0.00017), failure analysis complete, reproducible deployment, and clear path forward for model improvement and Arabic adaptation. See docs/beam-search/n_best_implementation.md and docs/evaluation/after_amosi_audit.md (Se",2,2,METADATA,METADATA,slide-meta / date / page
AFTER_AMOSI_May2026,3,What was done? (2/2),no,notes/para[0],"Overview slide 2/2. Key findings: 65% useful output by LLM judge, IS metric validated, MBR n-best aggregation promoted to production default (Y+P 71.1% vs 68.4% baseline, paired p=0.00017), failure analysis complete, reproducible deployment, and clear path forward for model improvement and Arabic adaptation. See docs/beam-search/n_best_implementation.md and docs/evaluation/after_amosi_audit.md (Se",65%,65%,METADATA,METADATA,slide-meta / date / page
AFTER_AMOSI_May2026,3,What was done? (2/2),no,notes/para[0],"Overview slide 2/2. Key findings: 65% useful output by LLM judge, IS metric validated, MBR n-best aggregation promoted to production default (Y+P 71.1% vs 68.4% baseline, paired p=0.00017), failure analysis complete, reproducible deployment, and clear path forward for model improvement and Arabic adaptation. See docs/beam-search/n_best_implementation.md and docs/evaluation/after_amosi_audit.md (Se",71.1%,71.1%,METADATA,OK,matches MBR canonical key=judge_v3_yp_pct_mbr
AFTER_AMOSI_May2026,3,What was done? (2/2),no,notes/para[0],"Overview slide 2/2. Key findings: 65% useful output by LLM judge, IS metric validated, MBR n-best aggregation promoted to production default (Y+P 71.1% vs 68.4% baseline, paired p=0.00017), failure analysis complete, reproducible deployment, and clear path forward for model improvement and Arabic adaptation. See docs/beam-search/n_best_implementation.md and docs/evaluation/after_amosi_audit.md (Se",68.4%,68.4%,METADATA,OK_TOP1_AS_BASELINE,explicit baseline marker in surrounding text (judge_v3_yp_pct_baseline)
AFTER_AMOSI_May2026,3,What was done? (2/2),no,notes/para[0],"Overview slide 2/2. Key findings: 65% useful output by LLM judge, IS metric validated, MBR n-best aggregation promoted to production default (Y+P 71.1% vs 68.4% baseline, paired p=0.00017), failure analysis complete, reproducible deployment, and clear path forward for model improvement and Arabic adaptation. See docs/beam-search/n_best_implementation.md and docs/evaluation/after_amosi_audit.md (Se",0.00017,0.00017,METADATA,OK,matches MBR canonical key=mcnemar_yp_p_mbr
AFTER_AMOSI_May2026,4,Presentation Overview,no,shape[3]/para[0],1. The Problem,1,1,UNCLASSIFIED,OUT_OF_AUDIT,not in audit canonical set
AFTER_AMOSI_May2026,4,Presentation Overview,no,shape[6]/para[0],2. How Do You Evaluate Lip-Reading?,2,2,UNCLASSIFIED,OUT_OF_AUDIT,not in audit canonical set
AFTER_AMOSI_May2026,4,Presentation Overview,no,shape[7]/para[0],"1,497 wild segments • Intelligibility Score (IS) • LLM-as-a-Judge gold standard","1,497",1497,LIKELY_HOLD,OUT_OF_AUDIT,not in audit canonical set
AFTER_AMOSI_May2026,4,Presentation Overview,no,shape[9]/para[0],3. Where the System Works,3,3,UNCLASSIFIED,OUT_OF_AUDIT,not in audit canonical set
AFTER_AMOSI_May2026,4,Presentation Overview,no,shape[12]/para[0],4. Confidence Without Ground Truth,4,4,UNCLASSIFIED,OUT_OF_AUDIT,not in audit canonical set
AFTER_AMOSI_May2026,4,Presentation Overview,no,shape[13]/para[0],Per-word conf + beam-agreement bands • Trust-gate operating points • 65% recall at 5.6% FPR,65%,65%,UNCLASSIFIED,OUT_OF_AUDIT,not in audit canonical set
AFTER_AMOSI_May2026,4,Presentation Overview,no,shape[13]/para[0],Per-word conf + beam-agreement bands • Trust-gate operating points • 65% recall at 5.6% FPR,5.6%,5.6%,UNCLASSIFIED,OK,matches MBR canonical key=trustgate_t30_fpr
AFTER_AMOSI_May2026,4,Presentation Overview,no,shape[15]/para[0],5. Demo + Future Directions,5,5,UNCLASSIFIED,OUT_OF_AUDIT,not in audit canonical set
AFTER_AMOSI_May2026,4,Presentation Overview,no,shape[18]/para[0],4,4,4,UNCLASSIFIED,OUT_OF_AUDIT,not in audit canonical set
AFTER_AMOSI_May2026,4,Presentation Overview,no,notes/para[0],"Five sections, mapping to the May 2026 academic-deck narrative. (1) The Problem: visemes, WER vs meaning. (2) How Do You Evaluate Lip-Reading?: the IS metric and the LLM-as-a-Judge gold standard. (3) Where the System Works: oracle vs realistic capture under MBR (default since May 2 2026), failure modes. (4) Confidence Without Ground Truth: agreement-aware bands, trust-gate operating points. (5) De",2026,2026,METADATA,METADATA,slide-meta / date / page
AFTER_AMOSI_May2026,4,Presentation Overview,no,notes/para[0],"Five sections, mapping to the May 2026 academic-deck narrative. (1) The Problem: visemes, WER vs meaning. (2) How Do You Evaluate Lip-Reading?: the IS metric and the LLM-as-a-Judge gold standard. (3) Where the System Works: oracle vs realistic capture under MBR (default since May 2 2026), failure modes. (4) Confidence Without Ground Truth: agreement-aware bands, trust-gate operating points. (5) De",1,1,METADATA,METADATA,slide-meta / date / page
