utt_id,display_name,ref,hyp,hyp_tagged,wer_%,wwer_%,nea_recall_%,nea_precision_%,nea_f1_%,missed_entities
-r0CnHLAm2k_0__70eb4d5d_00_000000_000093,-r0CnHLAm2k_0__70eb4d5d,there forever and i want it to be a five star review,forever and i wanted to be around for you,forever:rep and:rep i:rep wanted:ins to:rep be:rep around:ins for:ins you:ins,58.3,68.4,0.0,100.0,0.0,five
0fmc81KXbB0_0__8be49586_00_000000_000099,0fmc81KXbB0_0__8be49586,i don't want to say mistakes but i will say like experiments and,i don't want to seem disrespectful but i will say that guess part of this,i:ok don't:ok want:ok to:ok seem:ins disrespectful:ins but:ok i:ok will:ok say:ok that:ins guess:ins part:ins of:ins this:ins,53.8,52.6,50.0,33.3,40.0,"experiments, mistakes"
0v2N6w4m46s_0__964e9355_00_000000_000359,0v2N6w4m46s_0__964e9355 - Part 1,on today's the doctor is in the topic is hypertension there is no ideal blood pressure reading but there is an accepted range of normal readings and today we're going to see where ours specifically mine falls and whether or not you need to make some life decisions,today as the doctor is saying the topic is hypertenion there's no ideal blood pressure reading but there is an accepted range of normal readings and today we see where our specifically mine falls and whether or not you can make some life changes,today:rep as:ins the:ok doctor:ok is:ok saying:ins the:ok topic:ok is:ok hypertenion:ins there's:ins no:rep ideal:rep blood:rep pressure:rep reading:rep but:rep there:rep is:rep an:rep accepted:rep range:rep of:rep normal:rep readings:rep and:rep today:rep we:ins see:rep where:rep our:ins specifically:rep mine:rep falls:rep and:rep whether:rep or:rep not:rep you:rep can:ins make:rep some:rep life:rep changes:ins,27.1,23.4,100.0,100.0,100.0,
0v2N6w4m46s_0__964e9355_01_000299_000395,0v2N6w4m46s_0__964e9355 - Part 2,and whether or not you need to make some lifestyle changes dr axel,and whether or not you're going to make some lifestyle changes doctor are we,and:ok whether:ok or:ok not:ok you're:ins going:ins to:ok make:ok some:ok lifestyle:ok changes:ok doctor:ins are:ins we:ins,38.5,47.8,0.0,100.0,0.0,"axel, dr"
1wZuiC0RuPM_13__dd2295eb_00_000000_000169,1wZuiC0RuPM_13__dd2295eb,you can just stitch that into place and that way it won't slide out,the tradition is that men play and women don't so we won't slide out,the:ins tradition:ins is:ins that:rep men:ins play:ins and:rep women:ins don't:ins so:ins we:ins won't:ok slide:ok out:ok,71.4,75.0,20.0,14.3,16.7,"just, place, stitch, way"
1whXJLCrTjY_0__668dbcdc_00_000000_000075,1whXJLCrTjY_0__668dbcdc,running a marathon knocked her out,when a marathoner not her round,when:ins a:ok marathoner:ins not:ins her:ok round:ins,66.7,77.8,0.0,0.0,0.0,"knocked, marathon, running"
2HddWQse8Mw_0__8ecb0409_00_000000_000072,2HddWQse8Mw_0__8ecb0409,james and will talk about street photography and other,i'm going to talk about doing it for the glory and all of that,i'm:ins going:ins to:ins talk:ok about:ok doing:ins it:ins for:ins the:ins glory:ins and:rep all:ins of:ins that:ins,122.2,75.0,0.0,100.0,0.0,james
2JuBrr6TW8o_14__39750242_00_000000_000112,2JuBrr6TW8o_14__39750242,they have something like this for the viola,some english for you all and,some:ins english:ins for:rep you:ins all:ins and:ins,100.0,90.0,0.0,0.0,0.0,"have, viola"
2S0wKsrQYqI_1__fbb354d6_00_000000_000141,2S0wKsrQYqI_1__fbb354d6,lures all with punch out hooks that go along with it this is no bigger than a credit card guys,is when my son hunter went on a long windy day they didn't know better than to take him out in the swamp,is:rep when:ins my:ins son:ins hunter:ins went:ins on:ins a:rep long:ins windy:ins day:ins they:ins didn't:ins know:ins better:ins than:ok to:ins take:ins him:ins out:rep in:ins the:ins swamp:ins,110.0,96.6,0.0,0.0,0.0,"bigger, card, credit, go, guys, hooks, lures, no, punch"
3PE65tkpaGw_0__dde8ee01_00_000000_000291,3PE65tkpaGw_0__dde8ee01,i bought a custom well not a custom this is off the shelf but it's much more expensive router bit meant to do this exact operation,they're putting on a costume well our costumes are of the shelf but it is much more expansive how am i meant to do this exact operation,they're:ins putting:ins on:ins a:rep costume:ins well:rep our:ins costumes:ins are:ins of:ins the:rep shelf:rep but:rep it:ins is:rep much:ok more:ok expansive:ins how:ins am:ins i:rep meant:rep to:rep do:rep this:rep exact:rep operation:rep,61.5,47.5,58.3,63.6,60.9,"bit, bought, custom, expensive, router"
3Sd87aIMr3k_15__19014265_00_000000_000090,3Sd87aIMr3k_15__19014265,now let's fill in the punnet square,to feel like the monkey square for the,to:ins feel:ins like:ins the:rep monkey:ins square:rep for:ins the:rep,100.0,106.7,0.0,100.0,0.0,punnet
48mil-jr-Pk_6__7aead1f5_00_000000_000073,48mil-jr-Pk_6__7aead1f5,for example wellness programs are very popular among employers,example wellness programs are very popular among employers,example:rep wellness:rep programs:rep are:rep very:rep popular:rep among:rep employers:rep,11.1,6.7,100.0,100.0,100.0,
5RJU2GoOvoM_0__d181c4ad_00_000000_000086,5RJU2GoOvoM_0__d181c4ad,you've got to get back up again because we all fall we all fail,you've got to get back up again because we all fall we all fail,you've:ok got:ok to:ok get:ok back:ok up:ok again:ok because:ok we:ok all:ok fall:ok we:ok all:ok fail:ok,0.0,9.5,100.0,100.0,100.0,
6j5IucNv9kc_8__7730cf1d_00_000000_000128,6j5IucNv9kc_8__7730cf1d,gadget mouse making company and they have this app on the app store you can pick up for free,excited to watch me come and then after that i'll show you a bit of,excited:ins to:ins watch:ins me:ins come:ins and:rep then:ins after:ins that:ins i'll:ins show:ins you:rep a:ins bit:ins of:ins,94.7,93.9,0.0,100.0,0.0,"gadget, mouse"
6k4CVRuJ9tg_2__3bf717e1_00_000000_000223,6k4CVRuJ9tg_2__3bf717e1,again before i get into that i just want to check in with people i know that a couple people well a few people will probably hear live so feel free to go and check them out and if you're interested in learning more about the,the day before i get here and just want to check in with people know that a couple of our friends are probably alive so it's freezing,the:rep day:ins before:rep i:rep get:rep here:ins and:rep just:ok want:ok to:ok check:ok in:ok with:ok people:ok know:rep that:rep a:rep couple:rep of:ins our:ins friends:ins are:ins probably:rep alive:ins so:rep it's:ins freezing:ins,67.4,64.3,40.0,57.1,47.1,"again, feel, few, free, go, hear, interested, learning, live, more, so, well"
