BASELINE | BATCH 05/15 | 101 pairs | format: NNN|ref|hyp|conf | Y=meaning conveyed, P=partial (annotate: P:preserved/-lost), N=meaning lost | `conf` is the method's own sentence-level confidence in [0,1] (n/a if missing) — use as a soft cue, NOT as a verdict shortcut
---
001|this name is alfred wenneger from joe's|your name is caffery wingard from zombie|0.56
002|so we have to ask ourselves well why would he do it well on the one hand he felt that he knew best how to choreograph for carlotta|so we have to ask ourselves well why would we do it well on one hand he felt the clinical mess the chaos of the emergency room|0.79
003|i always get the bullseye i'm all|i always get the person that i'm always|0.76
004|benzodiazepines are often converted to active metabolites in the liver examples include diazepam and flurazepam the important medications that you should know is really diazepam|benzodiazepines are often converted to active metabolites at lower inhaled sedatives like ativan and valium the important medications that you should know is really ativan|0.79
005|animals were running the friendly gray squirrels out of town by chasing down the males and castrating them now as you can imagine i was pretty shocked to hear this and when my grandpa explained to me what the words male and castration meant i was|mice were running the friendly racecourse dive down by chasing down the males and castrating them as you can imagine i was pretty shocked to hear this and when my grandparents explained to me what the word male in castrate meant i was|0.84
006|i can't even help myself i don't know what to do that's when you know shaitaan|i can't even help myself i don't know what to do that's why i'm here|0.83
007|i looked and i saw i was wrong i was lied to just as everyone else|learned and i just thought i was wrong i was lied to just like everyone else but|0.86
008|and that was for three years so i was full time with them for three years more than full time|and that was for three years so i was full time with them for 3 years more than full time|0.90
009|we're going to do a little bit of background to start so why aging is important the need for slps to really get into this field because we're getting in kind of late|going to do a little bit of background to this start so why aging is important the need for vitamin e is really needed in this figure because we're eating kind of late and|0.85
010|i was able to put this cabinet and that one over there show them that|for this time and i have to figure out how to|0.48
011|i do not know i don't know where your pencil is she said|what i'm talking about when i talk about being a man being a black man being an african american|0.55
012|tab and you're gonna hit show develop in minibar just click that|like i want to know what's going on with the world i just love that|0.42
013|and then basically ever since then i wanted to work for disney because i connect that with making people happy and wanting to|and basically ever since then i wanted to work for sixteen because i connected that with making people happy and wanting to|0.85
014|i think the most important question that anybody will|the most important question that anyone will ever|0.71
015|often when we talk about white privilege a common rebuttal is i can't be privileged i grew up poor or|when we talk about white privilege a common retort is i can't be privileged i grew up poor or|0.95
