HYP_VOTE_CONF | BATCH 13/15 | 101 pairs | format: NNN|ref|hyp|conf | Y=meaning conveyed, P=partial (annotate: P:preserved/-lost), N=meaning lost | `conf` is the method's own sentence-level confidence in [0,1] (n/a if missing) — use as a soft cue, NOT as a verdict shortcut
---
001|later when they began the final t minus nine countdown and we were expecting|when they began the final team on his side down and we were expecting|0.71
002|and subscribe see you guys next time bye|and subscribe to tedx by|0.65
003|and furthermore all the nisam the wondrous remarkable nisam the klaali sral had that was bestowed upon them from the time they left mithra|and furthermore who said this system wasn't just a remarkable system it was a dangerous system as i was abused from the top down from the|0.69
004|there is some slight background noise or slight hiss that can be heard when you're not listening to anything or during quieter sections of music but the signal itself is strong i didn't have any delays or drops|some the background there needs to be slate hands that can be heard we're not listening to any of the older quiet sections of music but the single instrument of each strong i didn't have any delay or drop or|0.70
005|about disruptive innovation a real paradigm shift in solo mo we are zenuber io and we're here to change the world|i'm from san francisco california are one of the most diverse cities in the united states|0.58
006|at that moment the dental surgeon enters the room he seems so serious|at that moment the dancer turns and enters the room she seems to|0.64
007|vote they never thought that the community could organize its ranks|vote the the community to organize these strike|0.61
008|revolutions of the past half billion years|used in the past half billion years|0.73
009|well that's why the fact that i had meningitis it was so severe that should not have allowed for any experience|well the fact that i had many chains and there was no savannah and that should not have allowed for any experience|0.70
010|i'm not very likely to have cancer we don't have cancer in my family as far as i'm aware and we tend to live fairly long most of my|i've never had the chance to address this before now i'm like to give it a try for the first time and i wish i could have this conversation with you|0.69
011|and a leadership speaker and he's delivered more than 400 professional programs to corporate and private clients he is president of results based seminar|speaker and leadership speaker and it's given more than 400 professional programs in corporate and private clients and presidents of resorts and we|0.69
012|an inquiry into how to improve children's education in france and he was intrigued by what the british were doing|ignoring his admonitions to improve his diction and pronunciation he was intrigued by what the british doing|0.68
013|and we're going to type in home page excerpt|years ago when i was a little girl my grandmother to me me|0.60
014|you form your leadership at home|so from your relationship at home|0.57
015|or you can move back over to it now i'm just going to type in my information so i have negative 1 positive 1|i don't know what i'm going to be when i grow up i just know that i want to the world|0.71
016|yes if you inscribe coach shane i'm guessing what you did was you took something something metal like maybe a knife or something|in give you he described gochujang i'm guessing what you did was you do something something better like maybe a knife or something and you|0.65
017|exactly the presidential yeah exactly so the reasons why those programs came about was because of the epidemiological evidence that supported the idea that|texas then in texas so the reason why those programs came about was because of the epidemiological evidence that supported the idea that|0.72
018|it contains permitted natural coloring added color flavors natural nature identical artificial flavoring substances contains no fruit|it contains permanent natural colorant edible color flavor natural scent edible artificial flavor and substances i can't pronounce|0.70
