HYP_VOTE_CONF | BATCH 02/15 | 104 pairs | format: NNN|ref|hyp|conf | Y=meaning conveyed, P=partial (annotate: P:preserved/-lost), N=meaning lost | `conf` is the method's own sentence-level confidence in [0,1] (n/a if missing) — use as a soft cue, NOT as a verdict shortcut
---
001|i normally do keep this thing in my pocket just for such a situation|me to keep it in my mind just for such a situation|0.67
002|point being is if we had like if my k 52s started doing that i there's something's wrong it's going back to|beings if we had like my kfv2 i started doing that and something's wrong it's holding me back into|0.71
003|full frame width so just crop to 16 by 9|full frame what's your position right now|0.58
004|the more influence you start having on the world and the happier you become because the greatest desire of every human being of every person|the more influence you still have on the world and the happier you become because the greatest of every human being of every person|0.72
005|of fat source when eating turmeric the beneficial compounds in turmeric like curcumin are more fat soluble than water soluble so to aid absorption include a source of|fact source we need to absorb the beneficial compounds in turmeric like curcumin are more absorbable in water soluble so dandelion absorption includes a source of|0.72
006|photoplasmic projections of the collective|he asked me to the his to|0.62
007|could also go buzz or your alarm in the morning|also going it or you alarm in the morning or|0.67
008|force yourself to make that next move|forced itself to make that next move|0.66
009|right or|important miles across the united states|0.52
010|to the word spelling yeah you have to learn spelling i know that english spelling is very difficult i have a resource about that too on our engvid website about 50 comm|worried about smelling you have to know the smell and i know that the genie belly is very difficult and i have a you about that too on our website about 15 carpets|0.68
011|my macbook i've used it on my netbook|my backpack and my notebook and|0.60
012|i'm the cyberroofguru welcome to my channel thanks for watching i appreciate it|sam richards welcome my son thank you for watching i'm|0.62
013|this name is alfred wenneger from joe's|his name is caffery wagon from zombie|0.61
014|of the pelvis as well as trunk flexion and rotation|of the middle east as well as drug inflection and rotation|0.70
015|if you think you're pretty handy building a snowman you might want to get yourself to northeast china|you're if to were an antibiotic snowman you might want to get the truth is shining|0.58
016|and that's okay but it can also still lead to problems having uniforms will not erase those problems is what i'm trying to say the next comment's coming in from deborah paul and she|ok but it can also still see the problems and we have uniformity we can erase those problems so what i'm trying to say the next time is coming in from you nepal|0.70
017|i have a tablet a smart phone i can take my pictures and videos directly off my tablet|if i stop playing football all together anytime i make a shift or anything like that to stop playing|0.59
018|out this morning it's our commercial product and i've got a few slides i'll try to go through the slides pretty quickly|this morning i saw a up on the motorway that said if you see a snake or the road will not|0.55
019|but i just really got into it lately and this game is such a time killer like you cannot believe it you will just i don't know|there but you can see from the audience we are here and this time we are such a time killer like you cannot have been living in new york i don't know|0.59
020|it looks like science has indeed discovered god and how would that be well if you take the trouble of going to the web and|incarcerated so high as it is over the last decade and now with that being what's the term of going to the rehabilitation|0.71
021|and for catalase guanylate cyclase it is stored in the form of ferritin you can find it within the body|that ferguson is a syntax it is stored in the form of folklore and you can find it within the body|0.69
022|how much strain there is in this direction and how much strain there is that way on|so i'm to you're you there wondering|0.55
023|baseball of course i wrote about baseball and she said there's one caveat to this assignment and that is that you need a source|part of course i wrote my bestseller just like this one caviar to this assignment and that is you need a source|0.70
024|one series of experiments that we did was to demonstrate that the nanorobots|series of experiments that we did was to demonstrate that that now|0.65
025|today here the three in one heated jacket and i will walk you through the jacket|i was happy to be here today|0.51
026|i need to have realness around me to kind of break through all the i don't know smoking mirrors if you will|need to have real realness environment to kind of break through all the i don't know smoking bears if you will and|0.70
027|the comments or not all the links will be in the description for the channels and then you could check for the songs if they publish it this|called on the internet or be in an exhibition for your channels and then you can check for controls they're published or|0.64
028|animals were running the friendly gray squirrels out of town by chasing down the males and castrating them now as you can imagine i was pretty shocked to hear this and when my grandpa explained to me what the words male and castration meant i was|mice were running the friendly hills dive down by chasing down the males and castrating them as you can imagine i was pretty shocked to hear this and when my grandparents explained to me what the worst male in castrate meant i was|0.73
029|that song for you saying that you own that song if it is not in the itunes database then it will take your song the version you have on your computer and upload it to an itunes matched server|song for you is that let you own that song if it's not in the isrc database then it will take your song the version you have on your computer and upload it to an isrc master server|0.73
030|certainly it needs this as well you start with developers this is actually a great environment for developers because|certainly idk needs this as well it's not with the developers this is actually a great environment for developers because|0.68
031|and we have permission to share this video to the world right now thursdays and wednesdays|we're one of the few places in the world where you can find two two class museums|0.65
032|we have an epidemic of vitamin d deficiency|we have an is deficiency|0.61
033|close parentheses to type it in and then once i've finished typing that in you'll see the word hello displayed in our preview window pretty cool right pretty simple all that stuff is great now what|person to do it they'd be like i don't want to feel like i'm eating a sandwich that was made in a perfect room with perfect air conditioning perfect humidity now|0.75
034|peace and blessings family|a blessing to be in this|0.53
035|an inquiry into how to improve children's education in france and he was intrigued by what the british were doing|ignoring his admonitions to improve his diction and pronunciation he was intrigued by what the british doing|0.68
036|website about 50 common spelling errors make sure go through|about 15 armed guards by the airlines to make sure that no one|0.65
037|educational neuroscience if you want to learn more about it one way is|international and if you learn more about it in one way|0.69
038|us anything it's that exploring for energy has safety risks|right now i'd like to take a moment to reflect and and david foster wallace|0.62
039|a line through your subject essentially just creating confusion when you're looking at the photo you're looking at it and it's harder to identify where the subject is because these lines in the background are cutting into the photo they're divided|aligned through your subject essentially just creating confusion when you're looking at the photo you are looking at and it's harder to identify where the subject is because these lines in the background are cutting into the photo dividing|0.74
040|look at the purpose of anecdotes we are going to connect|at the purpose of adding donors we are going to connect|0.69
041|grammar and syntax math rules and procedures social and behavioral rules and facts that are learned by rote|cooperatively to make the rules and procedures and social norms and enforce them own and pressure|0.66
042|on today's the doctor is in the topic is hypertension there is no ideal blood pressure reading but there is an accepted range of normal readings and today we're going to see where ours specifically mine falls and whether or not you need to make some life decisions|today as the doctor saying the topic is hypertension there is no ideal blood pressure reading but there is an accepted range of normal readings and today we'll see where our specifically mine falls and whether or not you're going to make some life changes|0.73
043|i got dropped off when i came to cobleskill when i was a freshman right here|i dropped out when i had the name almost did when i was a freshman before i got into|0.64
044|very honored to be here and i have been in many biennials i met bose and shweta for the first time in sao paulo when i was showing at the sao paulo biennial|our economy and they helped in many many years i met paul rusesabagina for the first time in 2004 when he was telling his story at the nations|0.55
045|of us but anyways so this is actually nothing to get excited about because if you look at the long term then you see|facebook anyway so this is actually nothing to get excited about because if you look at the long term that you see|0.71
046|of the city's 62 police officers are gonna be gone|the 16th president of the united|0.55
047|replaces it with generally a really consumer|it with generally a release to|0.64
048|frequency they vary in intensity sometimes it's 30 seconds sometimes it's seven minutes we brought him in the bed with us because we could call him|of run frequency they're very intense and sometimes that's 30 seconds sometimes it's seven minutes we call them in the bed with us because we can call them|0.71
049|and she was from the kind of village where if a little of her hair showed through her scarf or her eye caught the eye of a man not in her family|she was from the kind of villages where he felt it good for her hair to grow to her star for her height on a man and not in her family's|0.71
050|i got dumped by my girlfriend of like four years|in order to have a better life therefore|0.52
051|and so that is where we get our ionic product of water|i don't need bring to i i|0.61
052|and that is just something that i have|and that is just something that i have|0.70
053|text on her arm which happens to be simplified chinese|cancer's arm which happens to be the chain in thrombosis arm|0.60
054|what does this chord sound like to you|what does this court sound like to you|0.67
055|by percentage or the raw score you put in the|i have one last thing i like to share with you|0.63
056|every time you find a new page a new node|time you find a new place a new|0.71
057|it's just bad it's real bad it's gross there's pictures more let's move on|bad about bad it's gross there's pictures we need to move on|0.67
058|it will be interesting it will be exciting it will be|would be literacy it wouldn't be maths or science|0.61
059|i realized that he was saying everything that i wanted to say that i wanted to say to my mother that i wanted to say to the people in all of my classes in high school about how hard it was to be a certain way|i realized that he was saying everything that i wanted to say to my mother and to the people who took all of my classes in high school about how hard it was to be in a certain way and i|0.73
060|it's based on an article from the journal of abnormal and social psychology and you may remember a version of it from my|it's based on an article from the journal of abnormal and social psychology and you may remember our first quote from from|0.70
061|we're angry we're happy we're sad we're mad we're delightful we're joyous|angry we we're happy we are sad we are mad we are in love and we are joyous|0.61
062|of the possibility of a choking episode in an older child|of the possibility of showing an episode in an older|0.61
063|to engineer out of our habitat one of our basic human needs routine physical activity|the salary in the outskirts of rio de janeiro is around 200 reais a month which is equivalent to|0.56
064|were saying and then certain examples in the support of that theory and if they have certain criticism|today and that certain examples in the support of that day if they have certain certainty|0.66
065|this is my second time repeating the course obviously|is my second time in york obviously and|0.70
