HYP_VOTE_CONF | BATCH 10/15 | 102 pairs | format: NNN|ref|hyp|conf | Y=meaning conveyed, P=partial (annotate: P:preserved/-lost), N=meaning lost | `conf` is the method's own sentence-level confidence in [0,1] (n/a if missing) — use as a soft cue, NOT as a verdict shortcut
---
001|the i02xpress usb audio interface|is the test express me on the rear face|0.58
002|now what has happened is|what has happened is|0.71
003|so that's basically the three things that they cover that g fuel should give you a benefit to|that's basically the free things that they cover the gmv should give you a benefit too|0.70
004|discovered a passion for sitting in a bathtub full of 20 bills while pouring gold coins and gemstones on your head|even a passion or a hobby like needlepoint or something like that girls going to the gym i was like no|0.71
005|taking themselves to the point of muscle failure but these are also the same people that have been known to herniate their anuses|taking themselves to the point of mental failure but these are also the same people that have been known to eradicate their ants|0.72
006|something you should do to help yourself i highly recommend that you go see your own treating physician before the insurance examination and then again after the insurance examination|thing you should do to help yourself i highly recommend that you go see your own treating physician before the insurance contamination and then again after|0.75
007|possibly make it because i hated history when i was a little girl|i'm a manic depressive with bipolar disorder|0.59
008|goes on to say frank sachs lead author on the report said he has no idea why people think coconut oil is healthy it's almost 100 fat he says|goes on to say france as the lead author on the report said he has no idea why people think going north is south it's almost 100 percent fat kills us|0.64
009|are you saying that there are parts of our bodies or certain organs or cells within our|what you say is that all parts of our bodies are certain organs or cells within our|0.65
010|because i love the sweeps i don't know why i enjoy them so much and i think that one of the main reasons why i like the sweeps is because it's|i have these sweeps i don't know why i enjoy them so much and i think one of the main reasons why i get the sweeps is because|0.71
011|but there's not so we'll have to enjoy this one together|but try to do this doing in as we can|0.52
012|for personal attacks i'm pretty good at shrugging them off they don't know me personally so their comments don't really hurt the real me if they don't like the way i sound or look they'll be like|personal style i'm pretty good at turning them off and they don't know me personally so your comments don t really hurt the real me if they don t like the way i sound or look|0.72
013|now this is another favorite actually of mine|this is another favorite actually of mine|0.65
014|website and you set up a trigger which you would use as a voice command and then when you use that command it does a specific thing|it and you set up a trigger which you use as a voice command and then when you use that command it does a specific thing|0.73
015|she's doing away with it we are finding out that everything is that's up is down left is right in and out|just do it away with it we are finding out that everything is that upside down left right and out|0.70
016|then we have the costal cartilages costal always refers to ribs so these are right here|that we have they cause our hormones to go haywire so these are here are|0.66
017|and i have a tablespoon of jalapeno fresh jalapeno|and i have a with smoothie i've got the banana called fresh hot|0.60
018|document that requires a change request once it's been|documents and requirements to change requests it wasn't about|0.56
019|and i felt very strong like i started to believe in my own decisions like my own thoughts became so|i felt very strong and started to believe in my own decisions and my own thoughts became so|0.70
020|and that all sits at the heart of our 2020 goals|years is hardest if you're 23 years old|0.53
021|of laws have we just been talking about recently in physics|the cause that we've just been talking about recently climate|0.73
022|but before we tell you more about the redmi 5 if you do love the fact that we bring to you guys the hottest leaks out there as soon as we can then toss a like and subscribe to our channel we will see you in the next video|if we can tell you more about mfi if you don't love the fact that we bring to you guys the honest leaks out there as soon as we can then it costs|0.70
023|there's just some security in belonging to a group even if that group gets picked on by another group|just to securely belong to a group even if that group gets beaten down by another group|0.69
024|unfortunately strict enforcement of the laws weren't seen until the 1980s|fortunately strict enforcement of a class quota is not in in|0.58
