HYP_MBR | BATCH 04/15 | 101 pairs | format: NNN|ref|hyp|conf | Y=meaning conveyed, P=partial (annotate: P:preserved/-lost), N=meaning lost | `conf` is the method's own sentence-level confidence in [0,1] (n/a if missing) — use as a soft cue, NOT as a verdict shortcut
---
001|he looked at me like i was a village idiot|the same injury last year and so|0.46
002|menu buttons being right here they're at the top which by the way i think the window thing blends in real nicely seamlessly almost with|billions of dollars of the time but by the way i think what you think of being a civil taxpayer is that we're just one thing|0.55
003|second point how long will it take|start point how long will it take well|0.70
004|normally paid when it comes to wordpress themes and plugins|be paid when it comes to the 1 1 steps in place|0.64
005|i want you to remember all these i want you to memorize them|i want you to remember all the things that i want to memorize in|0.72
006|i just learned something recently because i'm a lover of|i just learned something recently because i'm not a lover of|0.71
007|their oar was the same you know each was the same and he was in the middle and he didn't know whether to suicide left or right|ruled with an iron fist in a velvet glove my name is kim bowie and in the words of nirvana|0.53
008|something if you're down soft you definitely want to check out|instead of focusing on the negative focus on the|0.52
009|some will not even pay any attention to meditation that too is changing|some will not even pay any attention to meditation that's too weird changing|0.73
010|you can just go right down the list all of the vines|you just go right down the list all of the facts|0.68
011|a little bit of a shift or a nudge in the interpretation or communication that climate scientists have engaged in vis a vis|there will be a shift to greenhouse gases such as methane nitrous oxide and co2 if these aerosols are|0.50
012|school is a jungle so many things to navigate|the digital channel determining things to navigate and|0.56
013|costs and you have to show that there isn't any cheaper more humane way to obtain these benefits three in practice predicting the consequences of war is extremely difficult extremely difficult|and given the show that they're just getting cheaper and more ubiquitous way to obtain these benefits in three in practice predicting the consequences of war is extremely difficult extremely difficult|0.72
014|if police reasonably believe that you have information that could assist them with the investigation of a serious offence then you have to give them your name and address|police reasonably believe that you have information that could assist them with the investigation of a serious offence then you have to give them your name and address|0.85
015|absolutely 100 yes i am happy if you've been watching my videos for a while you've seen some transformations maybe get my editor here|100 but then yes i am happy and you know guys if you have been watching my videos for a while you've seen some transformations maybe you wouldn't get my head under|0.69
016|so even if india takes myanmar away from china in an economic|nights so even if he needs eight hours of sleep away from checking email and coming back|0.60
017|you can find me at one of my shows in some dark corner you're in the green room or something doing you know stretching my arms out|me at one of my shows in some dark corner you know in the green room or something you know i need to stretch my arms|0.62
018|this is why i am so excited to share with you all today that we will begin the 2016 ted talks|is why i am so excited to share with you all today that we will begin the 2016 ted breath|0.87
019|and then you divide through by a in order to make it monic so the leading coefficient is 1 and then you complete|use a lab puppy and you can make money selling off the first one and then you can breed|0.49
020|6 7 and 8 1|in the science and technology sector what|0.46
021|this is just a hobby of mine that it's turned into something a lot bigger than i thought it would|this job of mine that it's so hard for me to be honest with you|0.47
022|we also have remote boom and bucket position|2000 miles across the united states|0.45
023|readers out there because they're everywhere and remember you want to network|when i was a little girl i always wanted to be a princess|0.46
024|so that's two draw three draw whole step bend|it was easy to do so we did the whole setup and|0.56
025|the nsa spies on its own citizens does data mining|specialty shows that just doesn't add up|0.46
026|we are part of the national initiative for building community trust and justice|what are some of the things that you can do to build trust suggest|0.46
027|website about 50 common spelling errors make sure go through|about 15 armed guards by the airlines to make sure that no one|0.64
028|yes they can perform very complex computations very fast|2000 miles across the united states|0.43
029|cooper show didn't tell you that the women of india have signed giant petitions to get firearms|show don't tell you that the women of italy have said no to petitions to get firearms|0.69
030|still sent me home i went home and i felt like i was on my deathbed i was going to die i don't know why they sent me home|sending me home i went home and i felt like i was on my deathbed i was going to die i don't know why they sent me home|0.85
031|wrong you're not really losing a big amount of money but it's good to learn all the things which you can't|wrong you don't need to lose something about money but it's usually other goals that's what just happened|0.63
032|encourage a little bit of a deeper thought process about the calories and the weight loss|encourage a little bit of a deeper thought process about the calories in the weight loss|0.78
033|and here's one of the key points it doesn't matter what the tradu|here's one of the key points it doesn't matter what the tradition|0.77
034|these out of course club members you get the club discount regular price is only 12 88 and our club members only pay 10 95 if you're not a club member make sure you check out our website because we have tons of reasons why you should be a club member thanks so much|down of course club members do get the club discount regular prices are only 12 88 airline club members can save up to 95 if you're not a club member make sure you check out our website because we have tons of reasons why you should be a clubmember thanks so much|0.76
