utt_id,display_name,ref,hyp,hyp_tagged,wer_%,wwer_%,nea_recall_%,nea_precision_%,nea_f1_%,missed_entities,semantic_sim,phonetic_sim,phonetic_matches,phonetic_near_misses,length_ratio,intelligibility_score,intelligibility_tier,intelligibility_label,context_recoverable,context_reason,llm_context_prob,llm_context_reason,failure_mode,success_pattern,topic,ref_words
-0dKADuskCI_6__0959cf94_00_000000_000128,-0dKADuskCI_6__0959cf94,then we have the costal cartilages costal always refers to ribs so these are right here,that we have they cause our hormones to go haywire so these are my heroes,that:ins we:ok have:ok they:ins cause:ins our:ins hormones:ins to:rep go:ins haywire:ins so:rep these:rep are:rep my:ins heroes:ins,68.8,73.1,11.1,16.7,13.3,"always, cartilages, costal, here, refers, ribs, right, then",0.1881,0.5625,1,4,0.938,1.937,2,Poor,False,content_destroyed,0.300,marginal,Phonetically Similar but Wrong Topic,,Other,16
-1A3LaiaazA_12__992cdcbf_00_000000_000282,-1A3LaiaazA_12__992cdcbf,actually i find all purple crystals to be very useful for the grief release process just because the purple crystals are very high elevation energy,i find all people crystals to be very useful for the grief release process it's because the people crystal has very high individual characters,i:rep find:rep all:rep people:ins crystals:rep to:rep be:rep very:rep useful:rep for:rep the:rep grief:rep release:rep process:rep it's:ins because:rep the:rep people:ins crystal:ins has:ins very:rep high:rep individual:ins characters:ins,32.0,36.6,61.5,61.5,61.5,"actually, elevation, energy, just, purple",0.6977,0.7600,0,4,0.960,3.763,4,Good,True,semantic_coherent,0.900,high_semantic_good_overlap,,Phonetically Preserved,Other,25
-29kYQQ3Kos_11__652a02f9_00_000000_000073,-29kYQQ3Kos_11__652a02f9,that are going to allow you to work with the team in a more,are going to allow you to work with a team and more,are:rep going:rep to:rep allow:rep you:rep to:rep work:rep with:rep a:rep team:rep and:ins more:rep,28.6,21.1,100.0,100.0,100.0,,0.8385,0.7857,0,2,0.857,4.342,5,Excellent,True,semantic_coherent,0.950,strong_structure_match,,Phonetically Preserved,Sports/Fitness,14
-3xW7Mihgjk_0__c4fdf51c_00_000000_000093,-3xW7Mihgjk_0__c4fdf51c,educational neuroscience if you want to learn more about it one way is,international courts and if you learn more about it in one way,international:ins courts:ins and:ins if:rep you:rep learn:rep more:rep about:rep it:rep in:ins one:ok way:ok,53.8,45.5,100.0,100.0,100.0,,0.1528,0.6154,0,0,0.923,2.884,3,Fair,False,insufficient_signal,0.300,marginal,Phonetically Similar but Wrong Topic,,Education/Academic,13
-7tusOdq-Aw_9__433c1e07_00_000000_000075,-7tusOdq-Aw_9__433c1e07,the 25 most important people to the growth of your business,the one that i'm most proud of is this one,the:ok one:ins that:ins i'm:ins most:rep proud:ins of:rep is:ins this:ins one:ins,90.9,78.9,0.0,0.0,0.0,25,0.0971,0.3182,0,1,0.909,1.290,2,Poor,False,content_destroyed,0.300,marginal,Phonetically Similar but Wrong Topic,,Business/Finance,11
-BuazAhs7uA_3__a4eb4ae6_00_000000_000101,-BuazAhs7uA_3__a4eb4ae6,and then we usually keep an eye on things and observe,that we used to keep it out of sight and out of,that:ins we:rep used:ins to:ins keep:ok it:ins out:ins of:ins sight:ins and:ok out:ins of:ins,90.9,200.0,16.7,33.3,22.2,"eye, observe, then, things, usually",0.4380,0.1818,0,2,1.091,1.697,2,Poor,False,content_destroyed,0.300,marginal,High Error Rate,,Other,11
-CtCg8jQ2JE_16__18dd4b08_00_000000_000127,-CtCg8jQ2JE_16__18dd4b08,you know in the tropics where i live they wear out and they're 600 bucks a fucking piece,you know when the drops are where i live and they wear athleisure they don't remind me of fucking bears,you:ok know:ok when:ins the:ok drops:ins are:ins where:rep i:rep live:rep and:rep they:rep wear:rep athleisure:ins they:rep don't:ins remind:ins me:ins of:ins fucking:rep bears:ins,61.1,61.3,0.0,100.0,0.0,"600, bucks",0.3126,0.6389,1,3,1.111,2.188,3,Fair,False,insufficient_signal,0.550,phonetic_bridge_semantic,Entity Destruction,,Other,18
-Hh2nX2Kx-E_12__35945ecb_00_000000_000138,-Hh2nX2Kx-E_12__35945ecb,more fabulous queens from around the globe first the lebanese comedian,more fabulous tweets from around the globe first lebanese community,more:ok fabulous:ok tweets:ins from:ok around:ok the:ok globe:ok first:ok lebanese:rep community:ins,27.3,25.0,100.0,50.0,66.7,,0.6108,0.8182,0,2,0.909,3.802,4,Good,True,semantic_coherent,0.950,strong_structure_match,,Phonetically Preserved,Other,11
-IB9YU0FmEs_0__8088e32d_00_000000_000090,-IB9YU0FmEs_0__8088e32d,examples so that you can practice along with me,couples sitting and practicing yoga with me,couples:ins sitting:ins and:ins practicing:ins yoga:ins with:rep me:rep,77.8,81.8,0.0,0.0,0.0,"examples, practice",0.3307,0.3333,0,2,0.778,1.623,2,Poor,False,content_destroyed,0.300,marginal,Entity Destruction,,Education/Academic,9
-IfFGbQZmVM_0__f5b650af_00_000000_000239,-IfFGbQZmVM_0__f5b650af,provide the housing so let's imagine the private sector has moved out no private investors and it was up to the government to provide this housing historically they haven't been great at doing that,the housing so it's matching the private sector to move that no profit investors and it was up to the government to provide this housing historically they haven't been great at doing it but even,the:rep housing:rep so:rep it's:ins matching:ins the:rep private:rep sector:rep to:rep move:ins that:rep no:rep profit:ins investors:rep and:rep it:rep was:rep up:rep to:rep the:rep government:rep to:rep provide:rep this:rep housing:rep historically:rep they:rep haven't:rep been:rep great:rep at:rep doing:rep it:rep but:ins even:ins,29.4,30.8,69.2,69.2,69.2,"imagine, let, moved, so",0.8948,0.8676,1,5,1.029,4.196,5,Excellent,True,semantic_coherent,0.950,strong_structure_match,,Phonetically Preserved,Cooking/Food,34
