HYP_VOTE_CONF | BATCH 08/15 | 102 pairs | format: NNN|ref|hyp|conf | Y=meaning conveyed, P=partial (annotate: P:preserved/-lost), N=meaning lost | `conf` is the method's own sentence-level confidence in [0,1] (n/a if missing) — use as a soft cue, NOT as a verdict shortcut
---
001|and our videos will be much better so that's awesome the other thing is|and our videos will be managed by but the authors the the|0.58
002|this is the fc hf34|6d 8f 94 i|0.52
003|personally i think it's a safe bet to say that we will see the device between september and october it'll feature an a5|personally i think it's a safe bet to say that we will see the iphone 5 sometime in november october elephant fall|0.67
004|hard drive 8 gigs of ram|a driving kick of red|0.54
005|i will receive the multi material unit i should receive it either in end of august beginning of september somewhere around there i believe|i will receive the multimaterial suit and i'll just receive it either in the end of august beginning of september somewhere around there i believe|0.67
006|difficult it requires strength that i thought i had|difficult it requires strength that i thought i had|0.65
007|one year leases on the ground they hated to build the soil up when they knew they might lose it at some point so you know there's got to be this working relationship that we're|one year lease on the ground they build the soil up underneath they knew they might lose it at some point so there's got to be this working relationship|0.69
008|here's a requirement you can look at this and say you know|it's a requirement in the say of|0.51
009|a friend of mine was recently diagnosed with and died of stage 4 breast cancer and she described|friend of mine was recently diagnosed and died of stage four breast cancer and as she described|0.72
010|so um|so i kind of|0.53
011|i can't even help myself i don't know what to do that's when you know shaitaan|i can't even help myself i don't know what to do that's aspect i'm here|0.71
012|i'm always open to new ideas and new things to try|always open to new ideas and new things to try|0.72
013|he's not going to be president of the united states|going to be president of the united states|0.73
014|physical tour of the ds 216 which isn't the easiest name to say neither is disc station ds 216 as i'm trying to rush it let's call it bus disc or nope|tour i think he has too many sticks which isn't his easiest name to say either it's disconcerting he has two but since i'm trying to rush it let's call it by statistics which|0.74
015|put on your humanity and has really constrained you|her to the body and has really strength to|0.58
016|louder or quieter that doesn't get synchronized because every|out in the wilderness and i like you guys just leave me|0.59
017|1240 as i said so everyone's sleeping everybody worse in spanish i like to say no so throws|so everyone is sleeping except everybody who speaks spanish like to say hola|0.59
018|quite a bit down to the production process itself|quite a bit down the production process|0.59
019|it's ever going to capture any of the market when all you have is a single high speed transistor that is not something you can build|never going to capture any of the money all you have is as i said at the high speed transition year it's not something you can build|0.73
020|you're smart enough to realize that you need a plan and i don't think that you know how to get a plan together and what you need to achieve has to have a plan|smart enough to realize that you need a plan and i don't think that you know how to with a plan together and what you need to achieve has to have a plan|0.71
021|new clients and people who want to|be really interesting to talk to you guys because once to|0.55
022|it was to be a certain way and not be able to talk with people about it|wants to be in a certain way and i'll be able to talk with people about it|0.67
023|of afro latinos so from colombia|a single so from to|0.53
024|and if it works for you i hope it can be very useful|what to do i hope it will be soon so let's|0.57
025|in this regard it always helps me to think of stephen covey's notion of|this card always helps me to think of steve jobs's no shift|0.66
026|eight ounces of philadelphia cream cheese and all i'm gonna do i've let this sit out on the|every other object and all i'm going to do is have get this down on the|0.61
027|as if holding water or perhaps bile|fluoride in the water or perhaps banana|0.65
028|supplier it would be i think very difficult for that individual|it would be i think very difficult for that individual|0.60
029|second thing is a circular polarizer great for obviously exterior shooting but also good for getting rid of reflections sometimes in windows and things like that|second is i the and cried for obviously a hate shooting but also for getting rid of reflections sometimes in windows and things like glass|0.65
030|the projects that this is not nothing special|this is a project i've been working on for last part of thank you very much|0.63
031|acres and hills and a pond and you know a variety of vegetation so it was with a lot of excitement and anticipation that the staff brought mahini to her new home|layers in the earth's body and a variety of vegetation so it was with a lot of grease and excitement that i have brought me into a new home|0.67
