HYP_VOTE_SCORE | BATCH 03/15 | 105 pairs | format: NNN|ref|hyp|conf | Y=meaning conveyed, P=partial (annotate: P:preserved/-lost), N=meaning lost | `conf` is the method's own sentence-level confidence in [0,1] (n/a if missing) — use as a soft cue, NOT as a verdict shortcut
---
001|lures all with punch out hooks that go along with it this is no bigger than a credit card guys|is one of the largest oil rigs in the gulf of mexico it's no bigger than grand canyon|0.62
002|like where the extra income was gonna come from but i told myself i was gonna quit my job|where the internet was going to come from i told myself i'm going to quit my job and|0.68
003|supposed to be you know like that telephone game if you whisper something to|supposed to be like that the telephone game if you whisper something|0.68
004|people to guide them and that's where the health coaches come in and this is why doctors need people to help them implement these things but once a person experiences how much better they feel when they|books inside them and that's where now nurses come in this is why doctors need people to help them implement these skills but once a person experiences how much better they feel when they|0.72
005|pascal like william james disagreed with this line of reasoning because he saw great personal benefit in being a believer|like william james disagreed with this line of reasoning because he saw a great personal benefit in being a believer|0.70
006|and believe it or not that was the first time i've been|and believe it or not it was the first time i'd been|0.69
007|sometimes my wife is busy doing recipes or doing whatever else and i'll i want to play with my son i want to be around my son but you know really cuts into my work schedule|my wife and kids do whatever it is right now i'm going to play with my son and my grandson but really i see my work go so i don't|0.68
008|popular with republican presidential candidates|unpopular with republican presidential candidates|0.72
009|chlamydia one of the leading causes of infertility|in media one of the leading causes of infant mortality|0.60
010|and ask us what plane to put this sketch on so we'll click|it doesn't take a genius to see that i don't want to|0.61
011|so let's go and let's reduce that action by multiplying top and bottom by a common factor|so let's go with this do that actually my most song right now by calm and fat|0.61
012|3 million users about 12 million people who speak about us for our community|three million users about 12 million people who speak about it through their communities|0.69
013|this course is all about transitions this video is all about transitions|this course is all about transition in this video i'm going to talk about transition by|0.66
014|teaspoon of baking soda and salt you may say|beethoven's concerto and it's going to take you about 15|0.68
015|as this eternal light of creative intelligence awareness and power|self as an internal guide through the native intelligence awareness and power|0.62
016|weight so they're really concerned about being very|i'm going to tell you|0.57
017|who runs around my house destroys everything he touches i love him to death and she works as a registered nurse now there was an issue when i was going into high school|out stories around my house the stories of the ancients and she wanted to hear my stories too there was a year when i was going to high school|0.69
018|now let's fill in the punnet square|to feel like the monkey square for the|0.58
019|from firefly which is an itunes server also an awesome name that lets you stream music|from firefly which is an tv show on abc that lets you stream music|0.60
020|hello everybody welcome back to daily easy english expression ah boy today we have something very good fomo|everybody welcome back to tehran today we have something very good vemo is|0.70
021|in this regard it always helps me to think of stephen covey's notion of|this card always helps me to think of steve jobs's no shift|0.66
022|i got this 08 mazda 3 with 130 miles on it|i don't know a hundred miles is 1000|0.61
023|from people's stem cells that they would not reject over time and we were very near to a cure for things like aids|from people's stem cells that they would not reject over time and we were very eager to cure for things like aids why is it|0.70
024|egg hunts we're going to find them all we're really excited|is we are going to find them all we are ready to|0.66
025|now inside here you have to go and search for the section file now this section|there is second that you have no energy for this fight that you can find there is a discussion|0.62
026|most of it's about relationships i think you know it depends where you're at|most of it's built relationships and i think it depends where you're at in|0.67
027|something to make it easier to bring native code to the web|can make a difference and what can do|0.54
028|the house that we built is called a remote wall|house that would be in the hollywood walk of fame|0.57
029|likely don't have it there are situations where you can still have it|don't have it you're in trouble you something|0.60
030|face to bring it home in anticipation that one day this piece|it to be always in space that one day this peace|0.59
031|even after the insurance examination|after the initial contamination|0.65
032|devices idle connected to a un muted network or charger the job scheduler is one of my favourite features and i love it i'm happy with it and i will share it with you soon the job scheduler is one of my favourite features and i love it|to iron connected to the qaeda network also charged the job changer is one of my|0.66
033|mistakes and i think if you don't get out of that rut you just end up|not anything you can get out of that run in your chimp|0.68
034|these out of course club members you get the club discount regular price is only 12 88 and our club members only pay 10 95 if you're not a club member make sure you check out our website because we have tons of reasons why you should be a club member thanks so much|down of course club members do get the club discount regular prices are only 12 88 airline club members can save up to 95 if you're not a club member make sure you check out our website because we have tons of reasons why you should be club member thanks so much|0.72
035|so therefore it's attractive and then of course the large manufacturers of soft rings they can apply their distribution networks|is a default tracker and then of course the hardware manufacturers of softwares they can apply their distribution networks|0.67
036|been out there the ocean occupies about 80 of the earth's surface there is almost a limitless supply of sea vegetables|been out there the ocean occupies about 80 percent of the earth's surface and there is almost a limitless supply of sea vegetables and|0.70
037|up the order and just a little bit over the edge|to the neurosurgeon she's sitting up in the operating|0.55
038|i surrendered good quite i surrendered to the low security|years ago when i was|0.60
039|indoor professional sports arenas are lit pretty well in fact if you were to go on the sideline of a professional basketball game you would have a lot more success than if you were shooting|in your professional sports arenas are lit pretty well in fact if you were to go on the sideline of a professional basketball game you would have a lot more success than if|0.72
040|i'm not sure if you're aware of it but yes there has been a class action suit filed against apple for that very thing and yes technically speaking it wasn't a wine it was a beer|i'm not sure if you're aware of it but yes there has been a class action student filed a lawsuit for that very thing and yes now technically speaking it wasn't a wine it was a beer|0.69
041|to get into the regular modes we simply just hold it down that will cycle you into your regular|get into the rhythm most when is holding down that will cycle into your rhythm|0.65
042|we're doing everything we can to make our wood as environmentally|doing everything we can to make our world a better|0.69
043|tool for studying the concept behind absolute zero you can|studied at singapore polytechnic during my|0.51
044|this book ain't just narrated by one fool tellin us what's up with the dun|speak as i see i write about what i feel not the other way around|0.54
