utt_id,display_name,ref,hyp,hyp_tagged,wer_%,wwer_%,nea_recall_%,nea_precision_%,nea_f1_%,missed_entities
-r0CnHLAm2k_0__70eb4d5d_00_000000_000093,-r0CnHLAm2k_0__70eb4d5d,there forever and i want it to be a five star review,forever and i wanted to be around for you,forever:rep and:rep i:rep wanted:ins to:rep be:rep around:ins for:ins you:ins,58.3,68.4,0.0,100.0,0.0,five
0fmc81KXbB0_0__8be49586_00_000000_000099,0fmc81KXbB0_0__8be49586,i don't want to say mistakes but i will say like experiments and,i don't want to seem disrespectful,i:ok don't:ok want:ok to:ok seem:ins disrespectful:ins,69.2,78.9,25.0,33.3,28.6,"experiments, mistakes, say"
0v2N6w4m46s_0__964e9355_00_000000_000359,0v2N6w4m46s_0__964e9355 - Part 1,on today's the doctor is in the topic is hypertension there is no ideal blood pressure reading but there is an accepted range of normal readings and today we're going to see where ours specifically mine falls and whether or not you need to make some life decisions,,,100.0,100.0,0.0,100.0,0.0,today
0v2N6w4m46s_0__964e9355_01_000299_000395,0v2N6w4m46s_0__964e9355 - Part 2,and whether or not you need to make some lifestyle changes dr axel,and whether or not you're going to make some lifestyle changes not your hair,and:ok whether:ok or:ok not:ok you're:ins going:ins to:ok make:ok some:ok lifestyle:ok changes:ok not:rep your:ins hair:ins,38.5,47.8,0.0,100.0,0.0,"axel, dr"
1wZuiC0RuPM_13__dd2295eb_00_000000_000169,1wZuiC0RuPM_13__dd2295eb,you can just stitch that into place and that way it won't slide out,the tradition is that men play and that way they won't slide out,the:ins tradition:ins is:ins that:rep men:ins play:ins and:rep that:rep way:rep they:ins won't:rep slide:rep out:rep,50.0,60.0,40.0,40.0,40.0,"just, place, stitch"
1whXJLCrTjY_0__668dbcdc_00_000000_000075,1whXJLCrTjY_0__668dbcdc,running a marathon knocked her out,one marathon not around,one:ins marathon:rep not:ins around:ins,83.3,77.8,33.3,33.3,33.3,"knocked, running"
2HddWQse8Mw_0__8ecb0409_00_000000_000072,2HddWQse8Mw_0__8ecb0409,james and will talk about street photography and other,,,100.0,100.0,0.0,100.0,0.0,james
2JuBrr6TW8o_14__39750242_00_000000_000112,2JuBrr6TW8o_14__39750242,they have something like this for the viola,some english for you all and,some:ins english:ins for:rep you:ins all:ins and:ins,100.0,90.0,0.0,0.0,0.0,"have, viola"
2S0wKsrQYqI_1__fbb354d6_00_000000_000141,2S0wKsrQYqI_1__fbb354d6,lures all with punch out hooks that go along with it this is no bigger than a credit card guys,is one of the largest oil rigs in the gulf of mexico it's no bigger than grand canyon,is:rep one:ins of:ins the:ins largest:ins oil:ins rigs:ins in:ins the:ins gulf:ins of:ins mexico:ins it's:ins no:ok bigger:ok than:ok grand:ins canyon:ins,85.0,162.1,22.2,20.0,21.1,"card, credit, go, guys, hooks, lures, punch"
3PE65tkpaGw_0__dde8ee01_00_000000_000291,3PE65tkpaGw_0__dde8ee01,i bought a custom well not a custom this is off the shelf but it's much more expensive router bit meant to do this exact operation,,,100.0,100.0,0.0,100.0,0.0,"bit, bought, custom, do, exact, expensive, meant, more, much, operation, router, shelf"
