deck,slide_num,slide_title,hidden,location_in_slide,surrounding_text,number_mention,normalized,suggested_status
AFTER_AMOSI_Mar2026,1,Argos VSP,no,shape[5]/para[0],February 2026,2026,2026,METADATA
AFTER_AMOSI_Mar2026,1,Argos VSP,no,shape[7]/para[0],1,1,1,UNCLASSIFIED
AFTER_AMOSI_Mar2026,1,Argos VSP,no,notes/para[0],"Welcome. This presentation covers 3 months of research and engineering on a visual speech processing system — reading lips from video, no audio. We'll cover what we found, what we built, and where we go next.",3,3,UNCLASSIFIED
AFTER_AMOSI_Mar2026,2,What was done? (1/2),no,shape[0]/para[0],What was done? (1/2),1,1,UNCLASSIFIED
AFTER_AMOSI_Mar2026,2,What was done? (1/2),no,shape[0]/para[0],What was done? (1/2),2,2,UNCLASSIFIED
AFTER_AMOSI_Mar2026,2,What was done? (1/2),no,shape[5]/para[0],2,2,2,UNCLASSIFIED
AFTER_AMOSI_Mar2026,2,What was done? (1/2),no,notes/para[0],"Overview slide 1/2. Four months of work: went from a research paper with no environment to a full pipeline, standalone container with UI, new evaluation metric (IS), fine-tuning experiments, and Arabic roadmap.",1,1,METADATA
AFTER_AMOSI_Mar2026,2,What was done? (1/2),no,notes/para[0],"Overview slide 1/2. Four months of work: went from a research paper with no environment to a full pipeline, standalone container with UI, new evaluation metric (IS), fine-tuning experiments, and Arabic roadmap.",2,2,METADATA
AFTER_AMOSI_Mar2026,3,What was done? (2/2),no,shape[0]/para[0],What was done? (2/2),2,2,UNCLASSIFIED
AFTER_AMOSI_Mar2026,3,What was done? (2/2),no,shape[0]/para[0],What was done? (2/2),2,2,UNCLASSIFIED
AFTER_AMOSI_Mar2026,3,What was done? (2/2),no,shape[3]/para[0],• Proved the model performs well — about 65% of videos are useful by LLM judge assessment,65%,65%,UNCLASSIFIED
AFTER_AMOSI_Mar2026,3,What was done? (2/2),no,shape[3]/para[6],• Full plan to replicate the approach for an Arabic model in 2–3 months,2,2,UNCLASSIFIED
AFTER_AMOSI_Mar2026,3,What was done? (2/2),no,shape[3]/para[6],• Full plan to replicate the approach for an Arabic model in 2–3 months,3,3,UNCLASSIFIED
AFTER_AMOSI_Mar2026,3,What was done? (2/2),no,shape[5]/para[0],3,3,3,UNCLASSIFIED
AFTER_AMOSI_Mar2026,3,What was done? (2/2),no,notes/para[0],"Overview slide 2/2. Key findings: 65% useful output by LLM judge, IS metric validated, failure analysis complete, reproducible deployment, and clear path forward for model improvement and Arabic adaptation.",2,2,METADATA
AFTER_AMOSI_Mar2026,3,What was done? (2/2),no,notes/para[0],"Overview slide 2/2. Key findings: 65% useful output by LLM judge, IS metric validated, failure analysis complete, reproducible deployment, and clear path forward for model improvement and Arabic adaptation.",2,2,METADATA
AFTER_AMOSI_Mar2026,3,What was done? (2/2),no,notes/para[0],"Overview slide 2/2. Key findings: 65% useful output by LLM judge, IS metric validated, failure analysis complete, reproducible deployment, and clear path forward for model improvement and Arabic adaptation.",65%,65%,METADATA
AFTER_AMOSI_Mar2026,4,Executive Summary,yes,shape[3]/para[0],"• Evaluated a lip-reading AI on 1,497 real-world YouTube segments","1,497",1497,LIKELY_HOLD
AFTER_AMOSI_Mar2026,4,Executive Summary,yes,shape[3]/para[1],• Standard metric (WER) reports 64.1% error — 2.5× worse than benchmark,64.1%,64.1%,METADATA
AFTER_AMOSI_Mar2026,4,Executive Summary,yes,shape[3]/para[1],• Standard metric (WER) reports 64.1% error — 2.5× worse than benchmark,2.5,2.5,METADATA
AFTER_AMOSI_Mar2026,4,Executive Summary,yes,shape[3]/para[2],• Our new Intelligibility Score (IS) reveals 61.6% is actually useful — 2.4× what WER suggests,61.6%,61.6%,NEEDS_VERIFICATION
AFTER_AMOSI_Mar2026,4,Executive Summary,yes,shape[3]/para[2],• Our new Intelligibility Score (IS) reveals 61.6% is actually useful — 2.4× what WER suggests,2.4,2.4,NEEDS_VERIFICATION
AFTER_AMOSI_Mar2026,4,Executive Summary,yes,shape[3]/para[3],"• Built a complete production system: 8-stage pipeline, standalone container",8,8,UNCLASSIFIED
AFTER_AMOSI_Mar2026,4,Executive Summary,yes,shape[3]/para[4],• Clear roadmap to IS 3.5–4.0 (from 2.52) through data scaling + LLM upgrade,3.5,3.5,NEEDS_VERIFICATION
