utt_id,ref,A_baseline_wer,B_no_rep_pen_wer,C_lenpen_pos1_wer,D_lenpen_neg05_wer,E_sampling_low_temp_wer,F_sampling_original_wer,G_greedy_wer,H_lenpen_pos2_wer,I_lenpen1_sample_wer,J_lenpen1_temp05_wer,K_sampling_temp15_wer,L_sampling_temp03_wer,M_lenpen1_temp03_wer,A_baseline_wwer,B_no_rep_pen_wwer,C_lenpen_pos1_wwer,D_lenpen_neg05_wwer,E_sampling_low_temp_wwer,F_sampling_original_wwer,G_greedy_wwer,H_lenpen_pos2_wwer,I_lenpen1_sample_wwer,J_lenpen1_temp05_wwer,K_sampling_temp15_wwer,L_sampling_temp03_wwer,M_lenpen1_temp03_wwer
-r0CnHLAm2k_0__70eb4d5d_00_000000_000093,there forever and i want it to be a five star review,58.3,58.3,58.3,58.3,58.3,58.3,58.3,2133.3,58.3,58.3,50.0,58.3,58.3,68.4,68.4,68.4,68.4,68.4,68.4,68.4,1989.5,68.4,68.4,63.2,68.4,68.4
0fmc81KXbB0_0__8be49586_00_000000_000099,i don't want to say mistakes but i will say like experiments and,69.2,69.2,61.5,69.2,69.2,69.2,53.8,61.5,61.5,61.5,69.2,69.2,61.5,78.9,78.9,52.6,78.9,78.9,78.9,52.6,52.6,52.6,52.6,78.9,78.9,52.6
0v2N6w4m46s_0__964e9355_00_000000_000359,on today's the doctor is in the topic is hypertension there is no ideal blood pressure reading but there is an accepted range of normal readings and today we're going to see where ours specifically mine falls and whether or not you need to make some life decisions,22.9,22.9,22.9,100.0,22.9,22.9,27.1,22.9,22.9,22.9,22.9,22.9,22.9,19.5,19.5,19.5,100.0,19.5,19.5,23.4,19.5,19.5,19.5,19.5,19.5,19.5
0v2N6w4m46s_0__964e9355_01_000299_000395,and whether or not you need to make some lifestyle changes dr axel,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,47.8,47.8,47.8,47.8,47.8,47.8,47.8,47.8,47.8,47.8,47.8,47.8,47.8
1wZuiC0RuPM_13__dd2295eb_00_000000_000169,you can just stitch that into place and that way it won't slide out,50.0,50.0,57.1,50.0,50.0,57.1,71.4,57.1,57.1,57.1,50.0,50.0,57.1,60.0,60.0,50.0,60.0,60.0,50.0,75.0,50.0,50.0,50.0,60.0,60.0,50.0
1whXJLCrTjY_0__668dbcdc_00_000000_000075,running a marathon knocked her out,66.7,66.7,66.7,83.3,66.7,66.7,66.7,66.7,66.7,66.7,66.7,66.7,66.7,66.7,66.7,66.7,77.8,66.7,66.7,77.8,66.7,66.7,66.7,66.7,66.7,66.7
2HddWQse8Mw_0__8ecb0409_00_000000_000072,james and will talk about street photography and other,55.6,55.6,100.0,100.0,55.6,77.8,122.2,166.7,88.9,100.0,122.2,55.6,100.0,50.0,50.0,50.0,100.0,50.0,50.0,75.0,75.0,50.0,50.0,62.5,50.0,50.0
2JuBrr6TW8o_14__39750242_00_000000_000112,they have something like this for the viola,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3287.5,100.0,100.0,100.0,100.0,100.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,520.0,90.0,90.0,90.0,90.0,90.0
2S0wKsrQYqI_1__fbb354d6_00_000000_000141,lures all with punch out hooks that go along with it this is no bigger than a credit card guys,85.0,85.0,95.0,85.0,85.0,95.0,110.0,180.0,90.0,95.0,100.0,85.0,95.0,162.1,75.9,103.4,162.1,162.1,155.2,96.6,96.6,86.2,103.4,96.6,75.9,103.4
3PE65tkpaGw_0__dde8ee01_00_000000_000291,i bought a custom well not a custom this is off the shelf but it's much more expensive router bit meant to do this exact operation,50.0,50.0,50.0,100.0,50.0,53.8,61.5,53.8,65.4,50.0,50.0,50.0,50.0,55.0,55.0,55.0,100.0,55.0,55.0,47.5,55.0,57.5,55.0,55.0,55.0,55.0
