BASELINE | BATCH 09/15 | 100 pairs | format: NNN|ref|hyp|conf | Y=meaning conveyed, P=partial (annotate: P:preserved/-lost), N=meaning lost | `conf` is the method's own sentence-level confidence in [0,1] (n/a if missing) — use as a soft cue, NOT as a verdict shortcut
---
001|500 companies so he's been doing this for years|hundred companies so he's been doing this for years and|0.87
002|alrighty guys you guys start our 3d video at the field today and now we're back at your studio|guys so that's the video of the first kick they were back in the studio|0.62
003|this thing and what none of his family|that's fine but no|0.29
004|and if it works for you i hope it can be very useful|what to do i hope it will be very soon so let's|0.62
005|these out of course club members you get the club discount regular price is only 12 88 and our club members only pay 10 95 if you're not a club member make sure you check out our website because we have tons of reasons why you should be a club member thanks so much|down of course club members do get the club discount regular prices are only 12 88 airline club members can save up to 95 if you're not a club member make sure you check out our website because we have tons of reasons why you should be club member thanks so much|0.85
006|sheet stock then you need to try and make sure that you get a 32 teeth per inch blade|sheet song and you get to try to make sure that you're getting through it too quickly|0.72
007|i'm willing to bet that i have failed more times than anyone in this room because i have a|the process that i have to go through in order to get to where i am today but i'm going to tell you one thing|0.56
008|you were given a paragraph and you had to fill in the blanks based on the context so let's see what you got|underwater diving for your parachute and you have to fill in the blanks based on the context so let's see what you got|0.77
009|not surprising given they are manufactured by the same company and the app is also where we get to download the media for free|surprising even they're all manufactured by the same company and the episode where you download the media file|0.75
010|apple app store i'm pretty sure it's on android 2 so what you do is you download the app and then when you click get started it'll say what is your name and you type in your name and it's going to start auto populating|on the app store or pretty sure it's on the android too so what you can do is you download the app and then when you click that get started it'll say enter your name and you'll type in your name as the star auto populating|0.72
011|especially when i see it changing people's lives|she was actually changing people's lives the|0.65
012|when you know in your heart that you really can walk away your whole demeanor becomes more confident and more clear you avoid any of the desperation that the other person can feel and take advantage of|you know in your heart that you really can't walk away your whole and mirror makeup is more confident and more clear to avoid any of the desperation that the other person can feel and take advantage of|0.94
013|it was a kind of a unique thing because my university doesn't have anything similar to that|when i first heard it i had no idea what it meant|0.48
014|is a virus that infects a bacteria cell you will also sometimes hear a bacteriophage referred to as just a phage|the virus that infects the malaria parasite is called plasmodium falciparum so it's just a fancy name|0.52
015|it's just bad it's real bad it's gross there's pictures more let's move on|bad real bad it's gross there's pictures we need to move on|0.79
016|from what he was thinking i'm not sure|from where he was sitting i'm not sure but|0.82
017|the art of adding multiple poles of articulation alongside and parallel to the main conductors of the cable we then started to ask ourselves well we've got this ability to do this|art of adding multiple poles of articulation alongside in parallel to the main conductors of the cable we then started to ask ourselves well we've got this ability to do|0.87
018|told me that was how you learned what was going on and my sister|exposure to toxins in the air and|0.43
019|things like a little wire splitter here that allows me to send one signal into two different pieces of led tape and some extension cables as well so i can run the tape down the length of my truss|things like a little wire splitter that allows me to send one signal into two different pieces of editing tape and some extension tables as well so i can run the tape down the length of my trust|0.87
020|and how we should be and how we have to|i'm so happy to be here today|0.31
021|and he basically nothing fancy missed his point|was really missing the point|0.53
022|all you have to do is unscrew|all you have to do is not to|0.92
023|real merged reality so then there's a lathe that's spinning and so you can like put your finger in the lathe and it looks like your fingers being chopped up or you can put your phone in the lathe but so yeah it's you know it was obvious|immersed in reality so that there's a lane that's spinning and so you can like put your finger in the lane and then it looks like your finger is being chopped up or put on your phone and they had a pet cat so yeah it was obviously|0.76
024|just asking if anybody is taking your class and would like to share a book|asking if anybody has taken our class we'd like to share input or|0.72
025|had polygamy and concubines does that mean god approved it the bible records a lot of things|i blurred the line between documentary and scripted movie but i was recalling a lot of things|0.67
026|then you can contact that user and sell your services now|you cannot take that user and still your service now|0.87
027|and there you go i just wanted to let you all know the other thing that scientology does when anybody pitches something that they want they have a chance to win|go i just want to say to you all go the other thing that scientologists do is when anybody pitches something that they want they have|0.82
028|wisconsin deter me because i examined the book i say they could have|consciousness could be made adaptable they could be|0.39
