HYP_MBR | BATCH 01/15 | 102 pairs | format: NNN|ref|hyp|conf | Y=meaning conveyed, P=partial (annotate: P:preserved/-lost), N=meaning lost | `conf` is the method's own sentence-level confidence in [0,1] (n/a if missing) — use as a soft cue, NOT as a verdict shortcut
---
001|can i use that and she said yeah of course so yeah excuses are for amateurs|i use that and she said yeah of course so yeah and she uses it for amateurs|0.69
002|61 of americans admit to peeing in the shower i don't pee in the shower oh that's a lot|he wriggled out of my grip and made a beeline for the shower i couldn't be in the|0.62
003|at the end of the story is the same across all cultures so i hope you guys enjoy it and i can't wait to read your comments so a long time ago there was this indian king he somehow came across a group of blind men|end of the story is the same across all cultures so i hope you guys enjoy it and i can't wait to hear your comments so a long time ago there was an indian king somehow came across a group of blind men|0.77
004|fluent communication fluent conversations native speakers and communication we're reading recipes this is another example|communication fluency conversations native speakers and communication we're reading recipes this is another example|0.76
005|to my true nature so i'm gonna just first invite all of you to take a breath|mind into nature so i'm here to provide all of us with a little breathing|0.64
006|and i make the decision to abort my second child|and i made the decision to abort my second child|0.84
007|hooping is a little bit more complicated because for most of its history the most common use for hoops was bowling|it's a little bit more complicated because for most of its history the most common form of birth control was bowling|0.72
008|they were putting a lot of their gear|they would put in a lot of their year|0.66
009|the problem is that faith has multiple definitions and we've all seen thea swap between them when it's convenient|the problem is that fitness has multiple definitions and we've all done this swapped between them when it's convenient|0.72
010|so like a pair of jeans|so what do you see in the|0.44
011|across the campus with schenck shortly after he had come to|at the camps through his child and shortly after the couple|0.56
012|i have to be advised to read religion this is everybody you'll|to be able to fulfill my dreams and have a|0.48
013|i think that's maybe why i liked it so much it was just very it very much held onto the story|think it's funny i like to tell people that we're just very very very yellow|0.48
014|so i got clumsy but anyway the|i got it all but the question is|0.53
015|yeah so he's of mixed mind in the sense that you can see the practicality of being undistracted|and so it's part of me's mind that says that's the practicality of being unstructured|0.61
016|i need to have realness around me to kind of break through all the i don't know smoking mirrors if you will|need to have a real realness environment to kind of break through all the i don't know smoking bears if you will and|0.72
017|they do however on again they do however hold the festival|they don't know how awful it is to tell you how awful our schools are|0.52
018|as you thought but you will not be breaking down muscle and again there's a test to confirm|or the heart but you will not be breaking down muscle again there is no need to come from|0.62
019|client pair client so you either go to an agency get the work|it's like being a client so you are the who you need to see getting what you want|0.58
020|out and i have to say i am absolutely loving this headset now i have the mono version the mono ear version they also make one that has you know i guess dual|out and i have to say i am absolutely loving this set now i have the modern version the modern ear version the ultimate one that has you know i guess dual|0.77
021|seven eight and one|because i wanted to|0.43
022|so we set off on this process|so we set off on this process how could i get|0.69
023|and import fees before shipping a whole lot of sets|taking more fish but there's still a whole lot of sense|0.64
024|the comments or not all the links will be in the description for the channels and then you could check for the songs if they publish it this|column called on the list or being in an exhibition for your channels and then you can check for controls if they're published or|0.52
025|and this was at a time when you didn't get divorced i mean even now it's difficult in india to get divorced now here she was a 16 year old woman and my aunt at that time was eighth grade pass|and the news at that time knew she didn't get a divorce but even now as a divorced woman she was a 16 year old woman and i mean in my case at the time was like the reagan administration|0.61
026|it was nothing like that but when i got there and john paul courtier i seen all his clothes that he wanted me to wear i was like oh this ain't gonna be nothing like i have done before|it was nothing like that but i didn't when i got there and turned up on oj i said oh he's closed they won't be around i was like oh just tell me later like i haven't done before|0.62
