HYP_VOTE_SCORE | BATCH 01/15 | 103 pairs | format: NNN|ref|hyp|conf | Y=meaning conveyed, P=partial (annotate: P:preserved/-lost), N=meaning lost | `conf` is the method's own sentence-level confidence in [0,1] (n/a if missing) — use as a soft cue, NOT as a verdict shortcut
---
001|we will give up some of our individual choice for the sake of the community decision|will give up some of our individual sovereignty for the sake of the community and|0.68
002|to feel the same way how do you explain werewolves and magic in a world like that|feel the same way how do you explain woolly can imagine a world like that|0.66
003|to learn at the same time because you just arrived here so you need to learn the language|it's going to take a bit of time because you need to learn three languages the language|0.56
004|real human application that we can pull from that|what are the human implications of that but because|0.54
005|it doesn't have a carry strap but you can put it on your shoulder pretty easily or just carry it with your hand|this is david irving he's a holocaust denier and a computer hacker who broke into the nuremberg trials|0.62
006|okay so we've got a cool little drum fill what i'm gonna do is we're gonna stick it just on the snare drum to start off with i'll play it at 16th notes and i'll start doubling up what the hands are doing and turn those into 32nd notes so we|through all we'll drop through and what i'm going to do is when i get close to the stage i'll start off with a paced 60 beats per minute and then as i start to come up with that adrenaline it'll go to 130 so|0.73
007|blood extraction first before going to x ray because i wish i did that|not touch her first before going to her because i wish i did that|0.65
008|i don't trust it because it's the first generation of drone and we all|trust anybody is the first generation to grow like we all|0.67
009|code that way i know there was a lot of hype of that back in the 90s|that when lucille clifton came back at the time|0.60
010|this doesn't this is not a corpse this just looks like a statue|this is not corpses this is just like it's not just food|0.59
011|when einstein came to america he worked at princeton university there he was somewhat of a celebrity now he did win the nobel peace prize back in 1921 but because of his|einstein came to america he worked at princeton university there he was win the nobel peace prize back in 1921 but because|0.69
012|fill it out all the paperwork that we've ever had|all the people that we've ever had|0.66
013|i think that's maybe why i liked it so much it was just very it very much held onto the story|think it's funny i like to tell people that we're just very very very yellow|0.66
014|what they are is 3d goggles they have two independent screens they're like 850 by|3 years old like old|0.56
015|that man from the intellectual point of view logos but then pathos you trust that man because you're feeling that the intention|be the intellectual product of your own but then by those you are sitting back because you are feeling that the teacher|0.65
016|and that she had told me about this product and about doc|have told me about this product and i to talk to|0.60
017|my name is ozgur yapar in short oz|there is also a part hidden in us|0.51
018|to know all about the election season hacks malvertising exploits millions the nsa can track in flight cell phone use and openvpn gets an audit coming up now on threatwire|know all about the collateral damage it has maimed for decades experts millions in the nsa tracking phone calls and gopofemale candidates coming up now on the red carpet|0.71
019|what we're now going to do this is a three dimensional object and we're going to break that object into|how would i get to the top of that i don't know how to climb that|0.57
020|here's another item i hear bug off not really that important you know but for a lot of people depending on what they're doing it may be more important for them in the short term|going to come back off not really that poor but for a lot of people depending on what they're doing it can make them more or less for them in the short term so|0.69
021|further than any processing than any equipment that you'll purchase that's where it all begins after that|further than they can process it than any other woman in the world because they have to|0.60
022|about the being the living in space part that|we're basically about the business of sending kids to live in space|0.66
023|here is a random video for your viewing enjoyment|in a random video of your viewing history|0.69
024|what that meant is that we need a radically different approach we basically need to find a way how we can take existing routers existing switches existing links and enable them for research|their masses and we need a radically different approach we must indeed find a way we can design existing roads to exist with existing cities and enable them for reuse so|0.68
025|a little bit of a shift or a nudge in the interpretation or communication that climate scientists have engaged in vis a vis|there will be a shift to greenhouse gases such as methane nitrous oxide and co2 if this happens|0.73
026|seven eight and one|because i wanted to|0.53
027|you that's the first one that i'm going to show you this is the the gothic vaping cardo tank|you that's the first one i'm going to show you lcd and the cathode ray tube and|0.73
028|mylinux services where your time is spent|my client's services where your time is spent|0.64
029|system creates antibodies to fight back crash course explains here|see some gray hair about it and fight back and you'll gradually see my time|0.60
030|very important|policies that keep us out of the|0.56
031|bitchy means bitchy means arrrr don't talk to me don't look at me what are you looking at arrrr|to me punch me in the ha go talk to me go look at me what are you looking at|0.67
032|how many people love this what is this tea|people have seen the say|0.61
033|personal belongings from me and put me in jail|who agree with me and probably the|0.53
034|today i'm talking with admiral mcrae|today i'm talking with animal migratory|0.60
035|forum suggests a part of a very very big human sustainability movement i really appreciated the opportunity to a person like me with my iq and my background following|freeform vortex is part of a very very big human sustainability improvement i really appreciate you taking the opportunity to talk to a person like me with my hat on and my beard following|0.70
036|this is an interesting thing to do so gene has|this is an interesting thing to know so shin has an|0.68
037|women who won't consider us today because we are not co educational and every person who wants to attend usj because|women and queer youth of color because we're not going to go to college every person who wants to take the test can because|0.58
038|so that's something to consider but if you have a platinum card i called the date of|so that's the misconception but if you have a black and white i call the day|0.67
039|comes with a usb cable which basically turns your monitor into a usb hub giving it a few a couple extra ports|was the only usb cable which basically turned your computer into a usb hub i gave it a couple extra ports to|0.67
040|provide the housing so let's imagine the private sector has moved out no private investors and it was up to the government to provide this housing historically they haven't been great at doing that|the housing so it's matching the private sector to move that no profit investors and it was up to the government to provide this housing historically they haven't been great at doing it but even|0.70
041|so you can't just be an idiot and just start|so you can't just be the key needle in the haystack|0.56
042|greater there right there was no good|there the local|0.51
043|how's it going guys eric here from tech a sode tv and in today's tech a sode we're going to be taking a look at the top four issues with the galaxy note 5 and how to fix them|as john lennon once said may the force be with you|0.69
044|i now have 50 stitches on my needle and so now we're ready to begin the decreases if you look at our sample|now have 50 stitches on my neck and so now we're ready to begin the skin grafting on samuel|0.69
045|all in all quick reminder that calcium is an alkalinizing mineral so what that means is that it helps to|reminder that calcium is in our dairy milk so what that means is that it helps|0.71
046|welcome to conscious discipline and our time together today we're going to talk about the fifth power in the conscious discipline program and it's the|welcome to kyushu discipline and ikebana together today we're going to talk about the fifth power in the goshin discipline program and it's the|0.69
047|level and the extent of the force and control that they apply to other people|had the sense of force and control that they employed to other people|0.61
048|everybody who's joining in on that event and you want to have a place for only those emails you can swipe them across and put them in that one organization tab so that way you can have them all right there all for when you're ready|everybody who's joining on that event and you want to have a place for only those emails you can just sweep them across and put them in that one organization's inbox so that way you can have them all ready there all for when you're ready to|0.73
049|so then he says that everything that gatsby represented is something for which he had unaffected scorn gatsby is the only character in the book|is that everything that has been represented to me from shakespeare onwards or least being is the only character in the world|0.67
050|i'd say that it would become a threat of anybody that i work with that's successful financial athletes people in politics it's hunger you know you and i both know intelligence is a pretty damn valuable tool but there are a lot of very smart people that can't fight their|i said it would harm the reputation of anybody that worked with successful financial athletes people in politics it's hunky doo number two intelligence is pretty damn valuable tool but there are a lot of very smart people that can't find their way|0.72
051|on a charge|and he can get charged without having to|0.62
052|that social media off your phone i don't know about immersion and all japanese all the time that program but you can|that social media off your phone i don't know about march and all japanese all the time that program but you|0.71
053|no let's say i ask you to think about what you had for breakfast yesterday and if i were to say to you where do you sense it you'd probably sense it here to your left somewhere not everyone|now let's say i ask you to think about what you had for breakfast yesterday and if i were to say you ate a sandwich you'd probably say it you left it somewhere not everyone|0.71
054|there was a picture of a young girl on it sitting all alone in the photo she seemed so sad and helpless|was a picture of a young girl like she didn't look at the photo she seemed so sad and helpless|0.68
055|you can find the perfect counterweight and you never have to worry about your camera ending up in the dirt|you can find the perfect outerwear and you never have to worry about your camera getting as in the snow|0.67
056|what is a tearoom a tearoom is a public restroom|i actually grew up in a public housing|0.61
057|and julia totes over well thank god|julia child over real the|0.52
058|i got called back to my former university in texas to do a master class on belting|got called back to my former university in texas to do a master class on belting|0.69
059|florida or wherever you are|you can do whatever you want and if you see|0.59
060|back in the day i'm saying nowadays there's beautiful colors flyers lights you|but it doesn't end there now let's take this beautiful knowledge and apply it to the real|0.54
061|and scientists with team immediate action is needed to improve|1950 we can actually the more|0.50
062|buying things for quality because certain|buying things for quality because certain|0.68
063|experience|is the common|0.60
064|running a marathon knocked her out|when a marathon not a around|0.51
065|reasons why you should be a club member thanks so much and i'll see you again soon bye bye|is why you should be a cheerleader thanks to my sisters but wait|0.62
066|and i should thank you thank you thank you tom|and i share it with you thank you|0.63
067|like maybe a knife or something and on your forehead you wrote|maybe a knife or something and you cut your forehead and you're|0.65
068|or national agencies charged with determining asylum claims|all national agencies charged with terminating asylum claims|0.67
069|it's probably going to be an s corporation it depends and this is we're going to talk about your options to set up this new company here a little bit later but typically it's going to again be|probably going to be a nice corporation it depends this is we're going to talk about carbohydrates and starch and sucrose and all that but typically it's going to end up|0.65
070|note that the modified system is|so our decentralized flight system can|0.56
071|charge it every night just to keep it going through the day but i think that's a pretty good battery for a nice slim phone like this|it every night just to keep it going through the day but i think that's pretty good about it for her and i see some feel like this|0.71
072|a line through your subject essentially just creating confusion when you're looking at the photo you're looking at it and it's harder to identify where the subject is because these lines in the background are cutting into the photo they're divided|aligned through your subject essentially just creating confusion when you're looking at the photo you are looking at and it's harder to identify where the subject is because these lines in the background are cutting into the photo and dividing it|0.73
073|if that worked out well for me that's 10 000 in house|come on i'm going to play that again if that's okay|0.63
074|she was bleeding and the nurses were standing on the side and everybody was just looking|with pink and all these words that i can't even pronounce|0.52
075|smoothies to 435 06 or whatever and that autoresponder message can have anything in it that i like so makes it really easy|movies through four three five zero six or whatever and that auto responder message can have anything in it that i like so it makes it really easy|0.68
076|to right to six behind side cross side and you start over again now let me go the dance with the counts|around the city behind the skyscrapers behind the lights behind the houses behind the|0.66
077|computer not a city not even a building an entire computer|could face the death of the building|0.62
078|it's an interesting topic though that needs to be discussed because|it's an interesting topic though it needs to be discussed because what|0.63
079|your account where you will have to pay long term fee assessment|your account where you have to pay long term fees let's|0.69
080|i think we've got to look beyond this and say okay what's in the best interest of the patient and can we make this a curable or a controllable disease where it isn't right now|and they would then look the me and say okay what's in the best interest of the patient can we make this an oral curable or consumable resin where it is right now|0.69
081|now we are engaged in a great civil war testing whether that nation or any nation so conceived and so dedicated can long endure|now we are gaining a great civil war testing whether tyranny or anarchy should prevail in syria and donald trump|0.60
082|at that moment the dental surgeon enters the room he seems so serious|at that moment the dancer turns and enters the room she seems to be|0.63
083|costs and you have to show that there isn't any cheaper more humane way to obtain these benefits three in practice predicting the consequences of war is extremely difficult extremely difficult|and given to show that just getting cheaper and more ubiquitous way to obtain these benefits in three in practice predicting the consequences of war is extremely difficult extremely difficult|0.70
084|what's in my dock version 1 so here|to come once he made the contact he wanted so he|0.60
085|let's say if your mother was the narcissist she might dig in on your spouse or significant other in order to make you trust them less so that you'll be more connected to her|stephanie's grandmother was a seamstress and she made teddy bears and stuffed animals so in order to make teddy seem like a sexy woman she would|0.71
