BASELINE | BATCH 02/15 | 102 pairs | format: NNN|ref|hyp|conf | Y=meaning conveyed, P=partial (annotate: P:preserved/-lost), N=meaning lost | `conf` is the method's own sentence-level confidence in [0,1] (n/a if missing) — use as a soft cue, NOT as a verdict shortcut
---
001|on the front of the torso i mounted on so the whole thing just lifts off|first of the stories came out and so the whole thing just lifted off|0.77
002|revolutions of the past half billion years|used in the past half billion years|0.85
003|full frame width so just crop to 16 by 9|full frame what's your position right now|0.59
004|the more influence you start having on the world and the happier you become because the greatest desire of every human being of every person|the more influence you still have on the world and the happier you may become because the greatest of every human being of every person|0.85
005|that song for you saying that you own that song if it is not in the itunes database then it will take your song the version you have on your computer and upload it to an itunes matched server|song for you is that let you own that song if it's not in the isrc database then it will take your song the version you have on your computer and upload it to an isrc master server|0.87
006|photoplasmic projections of the collective|he asked me to judge his case|0.39
007|understand and unfortunately people don't have or they're not taught financial trading at any point in their school careers or|in the state and unfortunately people don't have a pool in their schools financial training at any point in their school degrees or|0.68
008|is going to make two different sized versions of the iphone 6 either remember to resolution|i had two different surgeries off the aortic valve i had open heart surgery|0.60
009|it has great grip rings it's really soft so i probably should have got that one|my school is a religious institution|0.31
010|it looks like science has indeed discovered god and how would that be well if you take the trouble of going to the web and|incarcerated so high as it is over the last decade and now with that being what's the term of going to the rehab|0.61
011|background are cutting into the photo they're dividing up your subject|own artwork into the photo of the dividing up her subject in|0.65
012|i'm the cyberroofguru welcome to my channel thanks for watching i appreciate it|sam richards welcome my son thank you for watching i'm|0.63
013|rotates all the way around once the dial that looks like a clock it means that you've used 7 48|process all the way around once you get to the end of the clock it means that you viewed seven or seven point four a|0.70
014|yeah i don't know how long i'm gonna stay but i probably will go back to canada|yeah i don't know how i would come to stay but i probably would go back to canada|0.82
015|if you think you're pretty handy building a snowman you might want to get yourself to northeast china|as if they were handing out snowballs you might want to get stuffed the truth is shining|0.57
016|may not be very good and the video actually may turn out to be totally|going to be very gradual about starting out to being totally|0.71
