HYP_VOTE_CONF | BATCH 09/15 | 101 pairs | format: NNN|ref|hyp|conf | Y=meaning conveyed, P=partial (annotate: P:preserved/-lost), N=meaning lost | `conf` is the method's own sentence-level confidence in [0,1] (n/a if missing) — use as a soft cue, NOT as a verdict shortcut
---
001|500 companies so he's been doing this for years|hundred companies so he's been doing this for years and|0.66
002|the art of adding multiple poles of articulation alongside and parallel to the main conductors of the cable we then started to ask ourselves well we've got this ability to do this|art of adding multiple poles of articulation side in parallel to the main conductor of the cable we then started to ask ourselves well we've got this ability to do|0.70
003|this thing and what none of his family|of fine but no|0.53
004|out this kind of stuff the three union members then proceeded to knock mr gladney to the ground and repeatedly punch and kick him now let me answer the question that this left wing union member asked|design itself the three us members the brazil's congress are likely to go out and repeal the ipcc now let me ask you the question that the us member has|0.70
005|today we're going to give you a behind the scenes look at what we've been doing in the stage 3 colts lesson|say i'm really to be here thank you much for being here it's an honor to have you|0.64
006|very quietly he tipped it|very quietly into|0.67
007|but also i don't like about contention|when i was a little girl i always wanted to be a princess|0.57
008|you were given a paragraph and you had to fill in the blanks based on the context so let's see what you got|underwater diving for your parachute and you asked to fill in the blanks based on the context so let's see one you got|0.69
009|output 3 7 volts|uncomfortable to keep myself in fault and|0.56
010|typing your name and it's going to start auto populating|you name it auto populating|0.59
011|was given is to go to those schools and meet with the people you have no idea if you're going to really mesh with the type of people at the different schools obviously like|you have no idea if you're going to really mess with a couple of people that you just met|0.62
012|now we're talking about the packaging itself is really starting to change in this digital environment and when we need to go to the store|of back into itself so it's not just status the individual but we we need to is is the whole|0.54
013|really highlighted the enormous problems facing that army now we've looked at|really highlighted that's an enormous problem we're fixing the economy now we've got|0.66
014|is a virus that infects a bacteria cell you will also sometimes hear a bacteriophage referred to as just a phage|the virus that infects the malaria parasite is called plasmodium falciparum so it's just a fancy name|0.68
015|this book ain't just narrated by one fool tellin us what's up with the dun|speak as see i write about what feel not the other way around|0.55
016|from what he was thinking i'm not sure|from where he was sitting i'm not sure but|0.63
017|well we've got this ability to do this now|we've got this ability to do this now|0.68
018|told me that was how you learned what was going on and my sister|exposure to i in the air and|0.54
019|things like a little wire splitter here that allows me to send one signal into two different pieces of led tape and some extension cables as well so i can run the tape down the length of my truss|things like a little wire splitter that allows me to send one signal into two different pieces of editing tape and some extension tables as well so i can run the tape down the length of my truck|0.72
020|if i have him in my arms and i just want him to go to sleep but he's not but i know lullabies help him i can say hey google turn on lullaby music for baby|if i have him in my arms then i just want him to go to sleep peacefully on my own on the back couch i take kids a turn on the lap of a baby|0.71
021|including some standard colors patches and ramps from black to white and you have seen me do this before|some standard colors patterns and wrapped it from black to white you have seen me do this before|0.67
022|all you have to do is unscrew|all you have to do is not to|0.68
023|but so yeah it's you know it was obviously just a demo but|but yeah it was obviously just a demo but you|0.63
024|maximizing quantity i'll step one up|based in on equality the way up and|0.54
025|rotates all the way around once the dial that looks like a clock it means that you've used 7 48|process all the way around once you to the end of the clock it means that you viewed 7 or 7 48|0.61
026|that man from the intellectual point of view logos but then pathos you trust that man because you're feeling that the intention|be the intellectual product of your own but then by those you are sitting back because you are feeling that the other's|0.65
027|when you know how to grow instagram when you know how to get millions of impressions when you can consistently generate a million impressions a week on your profile when you can|where you go out and grow a strawberry where you grow out and get peaches from branches where you can see the|0.66
