HYP_VOTE_CONF | BATCH 14/15 | 102 pairs | format: NNN|ref|hyp|conf | Y=meaning conveyed, P=partial (annotate: P:preserved/-lost), N=meaning lost | `conf` is the method's own sentence-level confidence in [0,1] (n/a if missing) — use as a soft cue, NOT as a verdict shortcut
---
001|25 times smaller moreover jacob had to contend with the influence of the most|five times more murders vehicle capita than with the influence of the most|0.63
002|i hear a lot of people always ask me does this cooler work on 1156 it's like but it says it's only for 1155 yes because 1155 and 1156 are exactly the same|if you're going to do a tour where you love 50 cities but you just don't have the time to visit them because if you visit the cities you can sell the same|0.70
003|and where is jeff|he wore his jeans|0.54
004|the answer is no i cannot just leave it there because hydrogen only wants to have one bond and now it has two if i make that bond i'm going to have to break it|like it's just no idea i just didn't even know could was such a bird and now i do so if i play that part i'm be familiar with|0.64
005|i mean it's a number i knew my screen resolution at the time was 1024 by 768|is in book you must do your research at the time which is day 24 by stephen covey and|0.67
006|it was fomented by evil spirits that possessed or were tormenting your wife that she inherited generationally|the basic pain of his parents and with his uncles who were torn away from their wives that is a generational injury|0.60
007|will not have enough food for a healthy life|we learned to have enough food for a healthy life|0.70
008|i'm on site overnight|i'm outside overnight|0.55
009|so all we need now is zero latency input devices and processors|all we need now is serial links to input devices and processors|0.68
010|and he turned around and said uh have you tried eating with the men i'm like yes it felt unnatural|he turned around and said have you tried any with meat i guess it felt unnatural|0.70
011|i release the muscles so they stay in just a little bit|i know i was pooped i had to reach the muscles so that stage|0.63
012|medicaid so that indicates that there's some level of inability to provide extra|and also at a certain level of inability to provide extra|0.62
013|what's up everybody and welcome to biowess 3 raw tv|some familiar words to up with raw tv|0.62
014|put up a wall and hide behind it there's a hidden epidemic|up a wall and hide behind it there is an epidemic that|0.68
015|we want college to become an everyday part of their lives and it's something that they're always thinking about|want colleges to be of everyday part of their lives and something that they're always thinking about|0.72
016|but that asylum was denied in 2010|that not research religion can coexist|0.50
017|so that loosens and these memories start to rise|that those things this made people of their highest|0.52
018|for example where we have two parents the parents are both heterozygous remember that that means they have two different alleles|group where we have two parents the parents are both androgyneous the member of the family is they have two different little|0.69
019|so further action what is further action|further action what's further action|0.69
020|unfair advantage to a lot of artists that have talent but don't necessarily have the money|a fair advantage to a lot of artists that have talent but don't necessarily have the money|0.66
021|stage illusion this is a magic trick so don't be stupid and try it at home this is just a magic illusion|the story of how i got to where i am today it all started when i was|0.72
022|we're going to do a little bit of background to start so why aging is important the need for slps to really get into this field because we're getting in kind of late|going to do a little bit of background to this start so why aging is important the need for vitamin e is really needed in this figure because we're eating kind of late|0.73
023|i should have it at the patriot nurses website the patriot nurses supply stash the bragg's liquid aminos is organic soy sauce basically|and i should have another petition start our website that petition to ban plastic be because it's an organic toxin based|0.62
