utt_id,display_name,ref,hyp,hyp_tagged,wer_%,wwer_%,nea_recall_%,nea_precision_%,nea_f1_%,missed_entities
-r0CnHLAm2k_0__70eb4d5d_00_000000_000093,-r0CnHLAm2k_0__70eb4d5d,there forever and i want it to be a five star review,forever and i wanted to be a fashion designer,forever:rep and:rep i:rep wanted:ins to:rep be:rep a:rep fashion:ins designer:ins,50.0,63.2,0.0,100.0,0.0,five
0fmc81KXbB0_0__8be49586_00_000000_000099,0fmc81KXbB0_0__8be49586,i don't want to say mistakes but i will say like experiments and,i don't want to seem disrespectful,i:ok don't:ok want:ok to:ok seem:ins disrespectful:ins,69.2,78.9,25.0,33.3,28.6,"experiments, mistakes, say"
0v2N6w4m46s_0__964e9355_00_000000_000359,0v2N6w4m46s_0__964e9355 - Part 1,on today's the doctor is in the topic is hypertension there is no ideal blood pressure reading but there is an accepted range of normal readings and today we're going to see where ours specifically mine falls and whether or not you need to make some life decisions,today as the doctor says the topic is hypertension there is no ideal blood pressure reading but there is an accepted range of normal readings and today we'll see where our specifically mine falls and whether or not you're going to make some life changes,today:rep as:ins the:ok doctor:ok says:ins the:rep topic:rep is:rep hypertension:rep there:rep is:rep no:rep ideal:rep blood:rep pressure:rep reading:rep but:rep there:rep is:rep an:rep accepted:rep range:rep of:rep normal:rep readings:rep and:rep today:rep we'll:ins see:rep where:rep our:ins specifically:rep mine:rep falls:rep and:rep whether:rep or:rep not:rep you're:ins going:rep to:rep make:rep some:rep life:rep changes:ins,22.9,19.5,100.0,100.0,100.0,
0v2N6w4m46s_0__964e9355_01_000299_000395,0v2N6w4m46s_0__964e9355 - Part 2,and whether or not you need to make some lifestyle changes dr axel,and whether or not you're going to make some lifestyle changes not your hair,and:ok whether:ok or:ok not:ok you're:ins going:ins to:ok make:ok some:ok lifestyle:ok changes:ok not:rep your:ins hair:ins,38.5,47.8,0.0,100.0,0.0,"axel, dr"
1wZuiC0RuPM_13__dd2295eb_00_000000_000169,1wZuiC0RuPM_13__dd2295eb,you can just stitch that into place and that way it won't slide out,the tradition is that men play and that way they won't slide out,the:ins tradition:ins is:ins that:rep men:ins play:ins and:rep that:rep way:rep they:ins won't:rep slide:rep out:rep,50.0,60.0,40.0,40.0,40.0,"just, place, stitch"
1whXJLCrTjY_0__668dbcdc_00_000000_000075,1whXJLCrTjY_0__668dbcdc,running a marathon knocked her out,when a marathon not a sprint,when:ins a:ok marathon:ok not:ins a:rep sprint:ins,66.7,66.7,33.3,50.0,40.0,"knocked, running"
2HddWQse8Mw_0__8ecb0409_00_000000_000072,2HddWQse8Mw_0__8ecb0409,james and will talk about street photography and other,some of the things we want to talk about doing in photography and all the,some:ins of:ins the:ins things:ins we:ins want:ins to:ins talk:rep about:rep doing:ins in:ins photography:rep and:rep all:ins the:ins,122.2,62.5,0.0,100.0,0.0,james
2JuBrr6TW8o_14__39750242_00_000000_000112,2JuBrr6TW8o_14__39750242,they have something like this for the viola,some english for you all and,some:ins english:ins for:rep you:ins all:ins and:ins,100.0,90.0,0.0,0.0,0.0,"have, viola"
2S0wKsrQYqI_1__fbb354d6_00_000000_000141,2S0wKsrQYqI_1__fbb354d6,lures all with punch out hooks that go along with it this is no bigger than a credit card guys,it's one of the best counties in the whole state of illinois and there's no better way to get at this,it's:ins one:ins of:ins the:ins best:ins counties:ins in:ins the:ins whole:ins state:ins of:ins illinois:ins and:ins there's:ins no:rep better:ins way:ins to:ins get:ins at:ins this:rep,100.0,96.6,0.0,0.0,0.0,"bigger, card, credit, go, guys, hooks, lures, no, punch"
3PE65tkpaGw_0__dde8ee01_00_000000_000291,3PE65tkpaGw_0__dde8ee01,i bought a custom well not a custom this is off the shelf but it's much more expensive router bit meant to do this exact operation,putting on a costume well our costumes of the show but it's much more expansive around being meant to do this exact operation,putting:ins on:ins a:ok costume:ins well:ok our:ins costumes:ins of:ins the:rep show:ins but:rep it's:rep much:rep more:rep expansive:ins around:ins being:ins meant:rep to:rep do:rep this:rep exact:rep operation:rep,50.0,55.0,50.0,54.5,52.2,"bit, bought, custom, expensive, router, shelf"
3Sd87aIMr3k_15__19014265_00_000000_000090,3Sd87aIMr3k_15__19014265,now let's fill in the punnet square,to feel like the monkey square for the,to:ins feel:ins like:ins the:rep monkey:ins square:rep for:ins the:rep,100.0,106.7,0.0,100.0,0.0,punnet
48mil-jr-Pk_6__7aead1f5_00_000000_000073,48mil-jr-Pk_6__7aead1f5,for example wellness programs are very popular among employers,example wellness programs are very popular among employers,example:rep wellness:rep programs:rep are:rep very:rep popular:rep among:rep employers:rep,11.1,6.7,100.0,100.0,100.0,
5RJU2GoOvoM_0__d181c4ad_00_000000_000086,5RJU2GoOvoM_0__d181c4ad,you've got to get back up again because we all fall we all fail,you've got to get back up again because we all fall we all fail,you've:ok got:ok to:ok get:ok back:ok up:ok again:ok because:ok we:ok all:ok fall:ok we:ok all:ok fail:ok,0.0,9.5,100.0,100.0,100.0,
6j5IucNv9kc_8__7730cf1d_00_000000_000128,6j5IucNv9kc_8__7730cf1d,gadget mouse making company and they have this app on the app store you can pick up for free,excited to watch me come then after that i'm going to,excited:ins to:ins watch:ins me:ins come:ins then:ins after:ins that:ins i'm:ins going:ins to:ins,100.0,100.0,0.0,100.0,0.0,"gadget, mouse"
6k4CVRuJ9tg_2__3bf717e1_00_000000_000223,6k4CVRuJ9tg_2__3bf717e1,again before i get into that i just want to check in with people i know that a couple people well a few people will probably hear live so feel free to go and check them out and if you're interested in learning more about the,them the day before i get there i just want to check in with people i know that a couple of people are probably in life so i feel free to,them:rep the:rep day:ins before:rep i:rep get:rep there:ins i:rep just:rep want:rep to:rep check:rep in:rep with:rep people:rep i:rep know:rep that:rep a:rep couple:rep of:ins people:rep are:ins probably:rep in:rep life:ins so:rep i:rep feel:rep free:rep to:rep,58.7,57.1,50.0,71.4,58.8,"again, few, go, hear, interested, learning, live, more, so, well"
8HA9Q9Ityfg_0__7a8ea09b_00_000000_000073,8HA9Q9Ityfg_0__7a8ea09b,own rail system for a few bucks,system for a few years now,system:rep for:rep a:rep few:rep years:ins now:ins,57.1,50.0,40.0,40.0,40.0,"bucks, own, rail"
8fk-CwhmumA_18__17792c60_00_000000_000129,8fk-CwhmumA_18__17792c60,as our routing and switching workbooks so that's why it's taking so long,and it's a great honor to be here thank you very much,and:rep it's:rep a:ins great:ins honor:ins to:ins be:ins here:ins thank:ins you:ins very:ins much:ins,100.0,95.2,0.0,0.0,0.0,"long, routing, so, switching, taking, workbooks"
