utt_id,method,ref,hyp,conf,wer_%,is_score,is_tier,verdict,preserved,lost,verdict_raw,source
-0dKADuskCI_6__0959cf94_00_000000_000128,baseline,then we have the costal cartilages costal always refers to ribs so these are right here,that we have they cause our hormones to go haywire so these are my heroes,0.48984453131755196,68.8,1.94,2,N,,,N,judged
-0dKADuskCI_6__0959cf94_00_000000_000128,hyp_mbr,then we have the costal cartilages costal always refers to ribs so these are right here,that we have they cause our hormones to go haywire so these are right here these,0.529,62.5,1.94,2,P,struct,key,P:struct/-key,judged
-0dKADuskCI_6__0959cf94_00_000000_000128,hyp_vote_score,then we have the costal cartilages costal always refers to ribs so these are right here,that we have they cause our hormones to go haywire so these are these are,0.662,68.8,1.94,2,N,,,N,judged
-0dKADuskCI_6__0959cf94_00_000000_000128,hyp_vote_conf,then we have the costal cartilages costal always refers to ribs so these are right here,that we have they cause our hormones to go haywire so these are here are,0.663,68.8,1.94,2,N,,,N,judged
-1A3LaiaazA_12__992cdcbf_00_000000_000282,baseline,actually i find all purple crystals to be very useful for the grief release process just because the purple crystals are very high elevation energy,i find all people crystals to be very useful for the grief release process it's because the people crystal has very high individual characters,0.7731060869991779,32.0,3.76,4,P,key+struct,detail,P:key+struct/-detail,judged
-1A3LaiaazA_12__992cdcbf_00_000000_000282,hyp_mbr,actually i find all purple crystals to be very useful for the grief release process just because the purple crystals are very high elevation energy,i find all people crystals to be very useful for the grief release process it's because the people crystal has very high individual characters,0.701,32.0,3.76,4,P,key+sem,detail,P:key+sem/-detail,judged
-1A3LaiaazA_12__992cdcbf_00_000000_000282,hyp_vote_score,actually i find all purple crystals to be very useful for the grief release process just because the purple crystals are very high elevation energy,i find all people crystals to be very useful for the grief release process it's because the people crystal has very high individual characters,0.685,32.0,3.76,4,P,key+struct,detail,P:key+struct/-detail,judged
-1A3LaiaazA_12__992cdcbf_00_000000_000282,hyp_vote_conf,actually i find all purple crystals to be very useful for the grief release process just because the purple crystals are very high elevation energy,i find all people crystals to be very useful for the grief release process it's because the people crystal has very high individual characters,0.689,32.0,3.76,4,P,key+struct,detail,P:key+struct/-detail,judged
-29kYQQ3Kos_11__652a02f9_00_000000_000073,baseline,that are going to allow you to work with the team in a more,are going to allow you to work with a team and more,0.9123958945274353,28.6,4.34,5,Y,,,Y,judged
-29kYQQ3Kos_11__652a02f9_00_000000_000073,hyp_mbr,that are going to allow you to work with the team in a more,are going to allow you to work with a team and more,0.833,28.6,4.34,5,Y,,,Y,judged
