slide_num,slide_title,shape_kind,rel_type,rel_id,embedded_filename,embedded_partname,embedded_blob_bytes,disk_path,disk_exists,disk_bytes,disk_mtime,codec,duration_s,width,height,has_audio,ffprobe_error
1,Argos VSP,PICTURE,image,rId2,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
2,What was done? (1/2),PICTURE,image,rId2,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
3,What was done? (2/2),PICTURE,image,rId2,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
4,Presentation Overview,PICTURE,image,rId2,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
5,What is Visual Speech Processing?,VIDEO,video,rId3,media1.mp4,../media/media1.mp4,1553912,/home/ubuntu/presentation_materials_20260224/06_demo_videos/IEa7qEkMvfQ_3__c5447488_with_hyp.mp4,yes,1553912,2026-02-24T16:08:30.164781,h264,7.24,1280,720,yes,
5,What is Visual Speech Processing?,POSTER,image,rId4,image2.jpg,../media/image2.jpg,97856,/home/ubuntu/presentation_materials_20260224/.poster_frames/perfect.jpg,yes,97856,2026-03-02T23:32:43.474966,,,,,,
5,What is Visual Speech Processing?,PICTURE,image,rId5,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
6,The Invisible Problem: Visemes,PICTURE,image,rId2,image3.gif,../media/image3.gif,112744,/home/ubuntu/presentation_materials_20260224/mom-yelling.gif,yes,112744,2026-03-07T12:28:25.719784,,,,,,
6,The Invisible Problem: Visemes,PICTURE,image,rId3,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
7,How It Works: Three Components,PICTURE,image,rId2,image4.png,../media/image4.png,72189,/home/ubuntu/presentation_materials_20260224/01_plots_for_slides/model_architecture.png,yes,72189,2026-03-05T01:40:34.459914,,,,,,
7,How It Works: Three Components,PICTURE,image,rId3,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
8,How It Works: Data Flow,PICTURE,image,rId2,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
9,8-Stage Automated Pipeline,PICTURE,image,rId2,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
10,The Benchmark: Paper vs Reality,PICTURE,image,rId2,image5.png,../media/image5.png,120380,/home/ubuntu/presentation_materials_20260224/01_plots_for_slides/P2_paper_vs_reality.png,yes,120380,2026-03-11T20:03:29.444276,,,,,,
10,The Benchmark: Paper vs Reality,PICTURE,image,rId3,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
11,The Reality Gap,PICTURE,image,rId2,image6.png,../media/image6.png,219744,/home/ubuntu/presentation_materials_20260224/01_plots_for_slides/P1_quality_tiers.png,yes,219744,2026-05-06T23:09:04.185288,,,,,,
11,The Reality Gap,PICTURE,image,rId3,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
12,"Same WER, Different Effects",PICTURE,image,rId2,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
13,Diversity of Inputs — Not LRS3,PICTURE,image,rId2,image7.gif,../media/image7.gif,1424937,/home/ubuntu/presentation_materials_20260224/01_plots_for_slides/lip_reading_demo.gif,yes,1424937,2026-03-05T01:28:15.753025,,,,,,
13,Diversity of Inputs — Not LRS3,PICTURE,image,rId3,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
14,WER: The Metric That Lies,PICTURE,image,rId2,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
15,RESEARCH FINDINGS,PICTURE,image,rId2,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
16,What the AVSR Literature Reports vs What Users Get,PICTURE,image,rId2,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
17,"LLM-as-a-Judge: Gold Standard (1,497 Pairs)",PICTURE,image,rId2,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
18,LLM Judge: Deep Dive,PICTURE,image,rId2,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
19,Judge Example 1: Named Entity Swap,VIDEO,video,rId3,media2.mp4,../media/media2.mp4,1375351,/home/ubuntu/presentation_materials_20260224/06_demo_videos/4D634qUi2BI_0__93a9f2b4_with_hyp.mp4,yes,1375351,2026-05-06T23:01:30.061796,h264,4.9,1280,720,yes,
19,Judge Example 1: Named Entity Swap,POSTER,image,rId4,image8.jpg,../media/image8.jpg,131404,/home/ubuntu/presentation_materials_20260224/.poster_frames/judge_entity.jpg,yes,131404,2026-03-07T22:07:17.870368,,,,,,
19,Judge Example 1: Named Entity Swap,PICTURE,image,rId5,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
20,Judge Example 2: Truncated but Core Preserved,VIDEO,video,rId3,media3.mp4,../media/media3.mp4,1045892,/home/ubuntu/presentation_materials_20260224/06_demo_videos/VfJ-6nQAmtk_22__4a7cbfd1_with_hyp.mp4,yes,1045892,2026-03-07T22:04:40.086305,h264,7.232,1280,720,yes,
20,Judge Example 2: Truncated but Core Preserved,POSTER,image,rId4,image9.jpg,../media/image9.jpg,113160,/home/ubuntu/presentation_materials_20260224/.poster_frames/judge_film.jpg,yes,113160,2026-03-07T22:07:18.042367,,,,,,
20,Judge Example 2: Truncated but Core Preserved,PICTURE,image,rId5,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
21,Judge Example 3: Technical Vocabulary Drift,VIDEO,video,rId3,media4.mp4,../media/media4.mp4,2540214,/home/ubuntu/presentation_materials_20260224/06_demo_videos/c6eBrYor21I_10__70697c08_Part1_with_hyp.mp4,yes,2540214,2026-05-06T23:01:33.706799,h264,12.748,1280,720,yes,
21,Judge Example 3: Technical Vocabulary Drift,POSTER,image,rId4,image10.jpg,../media/image10.jpg,65975,/home/ubuntu/presentation_materials_20260224/.poster_frames/judge_router.jpg,yes,65975,2026-03-07T22:07:18.168368,,,,,,
21,Judge Example 3: Technical Vocabulary Drift,PICTURE,image,rId5,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
22,Judge Example 4: Scientific Vocabulary Lost,VIDEO,video,rId3,media5.mp4,../media/media5.mp4,2330286,/home/ubuntu/presentation_materials_20260224/06_demo_videos/9HanJOCw2Sc_11__19c7ec4e_with_hyp.mp4,yes,2330286,2026-03-07T22:04:40.110305,h264,8.768,1280,720,yes,
22,Judge Example 4: Scientific Vocabulary Lost,POSTER,image,rId4,image11.jpg,../media/image11.jpg,88248,/home/ubuntu/presentation_materials_20260224/.poster_frames/judge_cortisol.jpg,yes,88248,2026-03-07T22:07:18.302368,,,,,,
22,Judge Example 4: Scientific Vocabulary Lost,PICTURE,image,rId5,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
23,Judge Example 5: Cooking Domain Confusion,VIDEO,video,rId3,media6.mp4,../media/media6.mp4,751137,/home/ubuntu/presentation_materials_20260224/06_demo_videos/a2CS82VZyO4_7__a6316c95_with_hyp.mp4,yes,751137,2026-03-07T22:04:40.116305,h264,3.264,1280,720,yes,
23,Judge Example 5: Cooking Domain Confusion,POSTER,image,rId4,image12.jpg,../media/image12.jpg,146123,/home/ubuntu/presentation_materials_20260224/.poster_frames/judge_jalapeno.jpg,yes,146123,2026-03-07T22:07:18.444368,,,,,,
23,Judge Example 5: Cooking Domain Confusion,PICTURE,image,rId5,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
24,Judge Example 6: Topic Hijack,VIDEO,video,rId3,media7.mp4,../media/media7.mp4,3290665,/home/ubuntu/presentation_materials_20260224/06_demo_videos/tUcgHemnJiQ_0__2fc132c1_with_hyp.mp4,yes,3290665,2026-03-07T22:04:40.131305,h264,7.104,1280,720,yes,
24,Judge Example 6: Topic Hijack,POSTER,image,rId4,image13.jpg,../media/image13.jpg,148822,/home/ubuntu/presentation_materials_20260224/.poster_frames/judge_lights.jpg,yes,148822,2026-03-07T22:07:18.581368,,,,,,
24,Judge Example 6: Topic Hijack,PICTURE,image,rId5,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
25,Where IS and the Judge Disagree,PICTURE,image,rId2,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
26,Context Exposes Hidden Failures,PICTURE,image,rId2,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
27,Why LLM as a Judge Is Not Enough,PICTURE,image,rId2,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
28,IS Signals: Word Accuracy & Length,PICTURE,image,rId2,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
29,IS Signals: Semantic Similarity,PICTURE,image,rId2,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
30,IS Signals: Phonetic & Named Entities,PICTURE,image,rId2,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
31,Do 6 Signals Actually Measure 6 Things?,PICTURE,image,rId2,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
32,IS in Action: Two Real Segments,PICTURE,image,rId2,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
33,Two Dimensions of Quality (PCA),PICTURE,image,rId2,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
34,Model Comparison: IS Profiles,PICTURE,image,rId2,image14.png,../media/image14.png,244588,/home/ubuntu/presentation_materials_20260224/01_plots_for_slides/P6b_radar_dual.png,yes,244588,2026-05-06T23:09:49.982331,,,,,,
34,Model Comparison: IS Profiles,PICTURE,image,rId3,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
35,The Gap: Where WER Lies Most,PICTURE,image,rId2,image15.png,../media/image15.png,385700,/home/ubuntu/presentation_materials_20260224/01_plots_for_slides/P7_is_wer_scatter.png,yes,385700,2026-05-06T23:09:05.309290,,,,,,
35,The Gap: Where WER Lies Most,PICTURE,image,rId3,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
36,A8: LLM Judge × IS Tier Cross-Tabulation,PICTURE,image,rId2,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
37,Where the System Works: Oracle vs Realistic,PICTURE,image,rId2,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
38,From Literature Metric to User-Trusted Output,PICTURE,image,rId2,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
39,Failure Mode Taxonomy,PICTURE,image,rId2,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
40,Failure Mode Taxonomy (1/2): Highest Impact First,PICTURE,image,rId2,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
41,Failure Mode Taxonomy (2/2): Accumulated → Signal Loss,PICTURE,image,rId2,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
42,Failure Modes: Real Examples,PICTURE,image,rId2,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
43,LLM Salvage: Three Real Recoveries,PICTURE,image,rId2,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
44,LLM Salvage: Domain Context Fills the Gaps,PICTURE,image,rId2,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
45,A6: Failure Mode Examples,PICTURE,image,rId2,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
46,Confidence Without Ground Truth,PICTURE,image,rId2,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
47,Two Layers of Confidence (Per-Word + Per-Segment),PICTURE,image,rId2,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
48,Phase 1: Confidence Scoring — Surface the Good 65%,PICTURE,image,rId2,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
49,Per-Word Confidence Bands - Distribution,PICTURE,image,rId2,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
50,Band Reliability - Overall P(correct | band),PICTURE,image,rId2,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
51,Green Reliability Depends on Segment Quality,PICTURE,image,rId2,image16.png,../media/image16.png,187026,/home/ubuntu/presentation_materials_20260224/01_plots_for_slides/P_band_reliability_stratified.png,yes,187026,2026-05-06T23:09:06.467291,,,,,,
51,Green Reliability Depends on Segment Quality,PICTURE,image,rId3,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
52,Green Leakage - When High Confidence Misleads,PICTURE,image,rId2,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
53,Three Calibrated Thresholds on Segment mean_prob,PICTURE,image,rId2,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
54,Three-Tier Policy - Per-Tier Counts and Reliability,PICTURE,image,rId2,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
55,Per-Word Bands Stratified by NIV Outcome,PICTURE,image,rId2,image17.png,../media/image17.png,118515,/home/ubuntu/presentation_materials_20260224/01_plots_for_slides/P_band_reliability_by_niv.png,yes,118515,2026-05-06T23:09:06.942291,,,,,,
55,Per-Word Bands Stratified by NIV Outcome,PICTURE,image,rId3,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
56,Joint Confidence + Beam-Agreement Band Rule,PICTURE,image,rId2,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
57,Beam Agreement Adds Independent Signal,PICTURE,image,rId2,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
58,Trust-Gate Operating Points (per-segment),PICTURE,image,rId2,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
59,Phase 2: Exploit All 20 Hypotheses,PICTURE,image,rId2,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
60,N-best Aggregation: v3 Judge Paired Tests,PICTURE,image,rId2,image18.png,../media/image18.png,176867,/home/ubuntu/presentation_materials_20260224/01_plots_for_slides/P_v3_judge_paired.png,yes,176867,2026-05-06T23:09:07.498292,,,,,,
60,N-best Aggregation: v3 Judge Paired Tests,PICTURE,image,rId3,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
61,Why MBR Won the Default-Display Slot,PICTURE,image,rId2,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
62,v1 vs v3 Judge: A Prompt-Design Lesson,PICTURE,image,rId2,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
63,Demo: OK → Almost There → Hallucination,VIDEO,video,rId3,media8.mp4,../media/media8.mp4,2796612,/home/ubuntu/presentation_materials_20260224/06_demo_videos/ktMebjnZiSE_3__ebdf1351_with_hyp.mp4,yes,2796612,2026-03-07T14:42:06.516533,h264,13.491,1280,720,yes,
63,Demo: OK → Almost There → Hallucination,POSTER,image,rId4,image19.jpg,../media/image19.jpg,95987,/home/ubuntu/presentation_materials_20260224/.poster_frames/smartphone.jpg,yes,95987,2026-03-07T15:52:04.382890,,,,,,
63,Demo: OK → Almost There → Hallucination,VIDEO,video,rId6,media9.mp4,../media/media9.mp4,463500,/home/ubuntu/presentation_materials_20260224/06_demo_videos/2HddWQse8Mw_0__8ecb0409_with_hyp.mp4,yes,463500,2026-03-07T14:42:06.483533,h264,3.019,1280,720,yes,
63,Demo: OK → Almost There → Hallucination,POSTER,image,rId7,image20.jpg,../media/image20.jpg,107846,/home/ubuntu/presentation_materials_20260224/.poster_frames/2HddWQse8Mw_0__8ecb0409_with_hyp.jpg,yes,107846,2026-03-07T14:42:15.090535,,,,,,
63,Demo: OK → Almost There → Hallucination,VIDEO,video,rId9,media10.mp4,../media/media10.mp4,1333853,/home/ubuntu/presentation_materials_20260224/06_demo_videos/00MUdHQ7GGY_8__b1480c7a_with_hyp.mp4,yes,1333853,2026-02-24T16:08:30.176781,h264,6.528,1280,720,yes,
63,Demo: OK → Almost There → Hallucination,POSTER,image,rId10,image21.jpg,../media/image21.jpg,131680,/home/ubuntu/presentation_materials_20260224/.poster_frames/halluc.jpg,yes,131680,2026-03-02T23:32:43.998966,,,,,,
63,Demo: OK → Almost There → Hallucination,PICTURE,image,rId11,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
64,Demo - Obama Trust Tier,VIDEO,video,rId3,media11.mp4,../media/media11.mp4,3119635,/home/ubuntu/presentation_materials_20260224/06_demo_videos/050111_OsamaBinLadenStatement_HD_14_004195_004555.mp4,yes,3119635,2026-05-06T23:01:21.272788,h264,12.079,1280,720,yes,
64,Demo - Obama Trust Tier,POSTER,image,rId4,image22.jpg,../media/image22.jpg,109154,/home/ubuntu/presentation_materials_20260224/.poster_frames/obama_perfect.jpg,yes,109154,2026-05-02T16:02:50.231104,,,,,,
64,Demo - Obama Trust Tier,PICTURE,image,rId5,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
65,Demo - Obama Salvage Tier (partial recovery),VIDEO,video,rId3,media12.mp4,../media/media12.mp4,3128275,/home/ubuntu/presentation_materials_20260224/06_demo_videos/050111_OsamaBinLadenStatement_HD_31_009290_009650.mp4,yes,3128275,2026-05-06T23:01:25.188791,h264,12.079,1280,720,yes,
65,Demo - Obama Salvage Tier (partial recovery),POSTER,image,rId4,image23.jpg,../media/image23.jpg,106463,/home/ubuntu/presentation_materials_20260224/.poster_frames/obama_partial.jpg,yes,106463,2026-05-02T16:02:50.805105,,,,,,
65,Demo - Obama Salvage Tier (partial recovery),PICTURE,image,rId5,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
66,Demo - INSPECT (closest to STRIP in the Obama set; lowest mean_prob = 0.799),VIDEO,video,rId3,media13.mp4,../media/media13.mp4,2520000,/home/ubuntu/presentation_materials_20260224/06_demo_videos/050111_OsamaBinLadenStatement_HD_05_001498_001858.mp4,yes,2520000,2026-05-06T23:01:28.450794,h264,12.04,1280,720,yes,
66,Demo - INSPECT (closest to STRIP in the Obama set; lowest mean_prob = 0.799),POSTER,image,rId4,image24.jpg,../media/image24.jpg,107738,/home/ubuntu/presentation_materials_20260224/.poster_frames/obama_flagged.jpg,yes,107738,2026-05-03T00:57:33.103912,,,,,,
66,Demo - INSPECT (closest to STRIP in the Obama set; lowest mean_prob = 0.799),PICTURE,image,rId5,image1.jpg,../media/image1.jpg,237255,/home/ubuntu/presentation_materials_20260224/08_branding/WhiteLogo.jpeg,yes,237255,2026-03-12T12:16:47.256654,,,,,,
67,Demo - Strip: entity swap auto-flagged,VIDEO,video,rId3,media2.mp4,../media/media2.mp4,1375351,/home/ubuntu/presentation_materials_20260224/06_demo_videos/4D634qUi2BI_0__93a9f2b4_with_hyp.mp4,yes,1375351,2026-05-06T23:01:30.061796,h264,4.9,1280,720,yes,
67,Demo - Strip: entity swap auto-flagged,POSTER,image,rId4,image8.jpg,../media/image8.jpg,131404,/home/ubuntu/presentation_materials_20260224/.poster_frames/judge_entity.jpg,yes,131404,2026-03-07T22:07:17.870368,,,,,,
