HYP_VOTE_CONF | BATCH 03/15 | 102 pairs | format: NNN|ref|hyp|conf | Y=meaning conveyed, P=partial (annotate: P:preserved/-lost), N=meaning lost | `conf` is the method's own sentence-level confidence in [0,1] (n/a if missing) — use as a soft cue, NOT as a verdict shortcut
---
001|lures all with punch out hooks that go along with it this is no bigger than a credit card guys|is one of the largest oil rigs in the gulf of mexico it's no bigger than grand canyon|0.62
002|like where the extra income was gonna come from but i told myself i was gonna quit my job|where the was going to come from i told myself i'm going to quit my job and|0.69
003|smoothies to 435 06 or whatever and that autoresponder message can have anything in it that i like so makes it really easy|movies through four three five zero six or whatever and that auto responder message can have anything in it that i like so it makes it really easy|0.69
004|how much better they feel when they make these lifestyle changes it's very easy to keep|is how much better they feel when they make these lifestyle changes it's very easy to|0.74
005|i see myself very much as a designer although the work|limited very much so you|0.58
006|text take for example a paragraph here this is a paragraph from the middle of a scientific toefl text|action take for example a pair of eyeglasses it takes a pair ever from the middle of a scientific novel|0.68
007|sometimes my wife is busy doing recipes or doing whatever else and i'll i want to play with my son i want to be around my son but you know really cuts into my work schedule|my wife and kids do whatever it is right now i'm going to play with my son and my grandson but really i see my work work so i don't|0.68
008|let's try sketchy edges this one's pretty fun so if we click on|trying to catch as we agents which was really fun so if get like to|0.63
009|we're excited about several innovations that will deliver increased nutritional benefits of the food that we eat as well and also that will help ensure|time and money for several innovations that will yield increased nutritional benefit of the future being of israel also they will help us secure|0.68
010|and ask us what plane to put this sketch on so we'll click|it just take a genius to see that i don't want to|0.62
011|well no right that's a big problem and it's something our society has not addressed at all|no right that's a big problem it's not because society is not address it at all|0.64
012|or emmy awards and say and i want to thank you|going to you story|0.53
013|this course is all about transitions this video is all about transitions|this course is all about transition in this video going to talk about transition|0.68
014|teaspoon of baking soda and salt you may say|beethoven's concerto and it's going to take you about 15|0.68
015|polyammonium lead halide perovskite efficiencies up to 9 were achieved|i'm glad you're here thank you for coming if just is the top 10 percent will achieve|0.54
016|weight so they're really concerned about being very|i'm going to tell you|0.57
017|how we treat each other is really that internal piece you can't measure very well but you can feel it|trick together is to trick each other as equals you can't boss each other around|0.59
018|now let's fill in the punnet square|to feel like the monkey square for the|0.59
019|browser right now this is blank|the train here in this|0.51
020|hello everybody welcome back to daily easy english expression ah boy today we have something very good fomo|everybody welcome back to tehran today we have something very good vemo is|0.70
